27498545|t|Differential Immunohistochemical Profiles for Distinguishing Prostate Carcinoma and Urothelial Carcinoma
27498545|a|The pathologic distinction between high-grade prostate adenocarcinoma (PAC) involving the urinary bladder and high-grade urothelial carcinoma (UC) infiltrating the prostate can be difficult. However, making this distinction is clinically important because of the different treatment modalities for these two entities. A total of 249 patient cases (PAC, 111 cases; UC, 138 cases) collected between June 1995 and July 2009 at Seoul St. Mary's Hospital were studied. An immunohistochemical evaluation of prostatic markers (prostate-specific antigen [PSA], prostate-specific membrane antigen [PSMA], prostate acid phosphatase [PAP], P501s, NKX3.1, and α-methylacyl coenzyme A racemase [AMACR]) and urothelial markers (CK34βE12, p63, thrombomodulin, S100P, and GATA binding protein 3 [GATA3]) was performed using tissue microarrays from each tumor. The sensitivities of prostatic markers in PAC were 100% for PSA, 83.8% for PSMA, 91.9% for PAP, 93.7% for P501s, 88.3% for NKX 3.1, and 66.7% for AMACR. However, the urothelial markers CK34βE12, p63, thrombomodulin, S100P, and GATA3 were also positive in 1.8%, 0%, 0%, 3.6%, and 0% of PAC, respectively. The sensitivities of urothelial markers in UC were 75.4% for CK34βE12, 73.9% for p63, 45.7% for thrombomodulin, 22.5% for S100P, and 84.8% for GATA3. Conversely, the prostatic markers PSA, PSMA, PAP, P501s, NKX3.1, and AMACR were also positive in 9.4%, 0.7%, 18.8%, 0.7%, 0%, and 8.7% of UC s, respectively. Prostatic and urothelial markers, including PSA, NKX3.1, p63, thrombomodulin, and GATA3 are very useful for differentiating PAC from UC. The optimal combination of prostatic and urothelial markers could improve the ability to differentiate PAC from UC pathologically.
27498545	33	41	Profiles	T058	UMLS:C1979963
27498545	61	79	Prostate Carcinoma	T038	UMLS:C0600139
27498545	84	104	Urothelial Carcinoma	T038	UMLS:C2145472
27498545	151	174	prostate adenocarcinoma	T038	UMLS:C0007112
27498545	176	179	PAC	T038	UMLS:C0007112
27498545	195	210	urinary bladder	T017	UMLS:C0005682
27498545	226	246	urothelial carcinoma	T038	UMLS:C2145472
27498545	248	250	UC	T038	UMLS:C2145472
27498545	252	264	infiltrating	T038	UMLS:C0332448
27498545	269	277	prostate	T017	UMLS:C0033572
27498545	378	387	treatment	T058	UMLS:C0087111
27498545	453	456	PAC	T038	UMLS:C0007112
27498545	469	471	UC	T038	UMLS:C2145472
27498545	529	554	Seoul St. Mary's Hospital	T092	UMLS:C0019994
27498545	560	567	studied	T062	UMLS:C2603343
27498545	592	602	evaluation	T058	UMLS:C0474700
27498545	606	615	prostatic	T017	UMLS:C0033572
27498545	616	623	markers	T103	UMLS:C0041365
27498545	625	650	prostate-specific antigen	T103	UMLS:C0138741
27498545	652	655	PSA	T103	UMLS:C0138741
27498545	658	692	prostate-specific membrane antigen	T103	UMLS:C1310550
27498545	694	698	PSMA	T103	UMLS:C1310550
27498545	701	726	prostate acid phosphatase	T103	UMLS:C1740167
27498545	728	731	PAP	T103	UMLS:C1740167
27498545	734	739	P501s	T103	UMLS:C0965053
27498545	741	747	NKX3.1	T103	UMLS:C1505704
27498545	753	785	α-methylacyl coenzyme A racemase	T103	UMLS:C0666209
27498545	787	792	AMACR	T103	UMLS:C0666209
27498545	799	809	urothelial	T017	UMLS:C0227598
27498545	810	817	markers	T103	UMLS:C0041365
27498545	819	827	CK34βE12	T103	UMLS:C0908867
27498545	829	832	p63	T103	UMLS:C1431519
27498545	834	848	thrombomodulin	T103	UMLS:C0145779
27498545	850	855	S100P	T103	UMLS:C1447472
27498545	861	883	GATA binding protein 3	T103	UMLS:C1307598
27498545	885	890	GATA3	T103	UMLS:C1307598
27498545	942	947	tumor	T038	UMLS:C0027651
27498545	970	979	prostatic	T017	UMLS:C0033572
27498545	980	987	markers	T103	UMLS:C0041365
27498545	991	994	PAC	T038	UMLS:C0007112
27498545	1009	1012	PSA	T103	UMLS:C0138741
27498545	1024	1028	PSMA	T103	UMLS:C1310550
27498545	1040	1043	PAP	T103	UMLS:C1740167
27498545	1055	1060	P501s	T103	UMLS:C0965053
27498545	1072	1079	NKX 3.1	T103	UMLS:C1505704
27498545	1095	1100	AMACR	T103	UMLS:C0666209
27498545	1115	1125	urothelial	T017	UMLS:C0227598
27498545	1126	1133	markers	T103	UMLS:C0041365
27498545	1134	1142	CK34βE12	T103	UMLS:C0908867
27498545	1144	1147	p63	T103	UMLS:C1431519
27498545	1149	1163	thrombomodulin	T103	UMLS:C0145779
27498545	1165	1170	S100P	T103	UMLS:C1447472
27498545	1176	1181	GATA3	T103	UMLS:C1307598
27498545	1192	1200	positive	T033	UMLS:C1446409
27498545	1234	1237	PAC	T038	UMLS:C0007112
27498545	1274	1284	urothelial	T017	UMLS:C0227598
27498545	1285	1292	markers	T103	UMLS:C0041365
27498545	1296	1298	UC	T038	UMLS:C2145472
27498545	1314	1322	CK34βE12	T103	UMLS:C0908867
27498545	1334	1337	p63	T103	UMLS:C1431519
27498545	1349	1363	thrombomodulin	T103	UMLS:C0145779
27498545	1375	1380	S100P	T103	UMLS:C1447472
27498545	1396	1401	GATA3	T103	UMLS:C1307598
27498545	1419	1428	prostatic	T017	UMLS:C0033572
27498545	1429	1436	markers	T103	UMLS:C0041365
27498545	1437	1440	PSA	T103	UMLS:C0138741
27498545	1442	1446	PSMA	T103	UMLS:C1310550
27498545	1448	1451	PAP	T103	UMLS:C1740167
27498545	1453	1458	P501s	T103	UMLS:C0965053
27498545	1460	1466	NKX3.1	T103	UMLS:C1505704
27498545	1472	1477	AMACR	T103	UMLS:C0666209
27498545	1488	1496	positive	T033	UMLS:C1446409
27498545	1541	1543	UC	T038	UMLS:C2145472
27498545	1561	1570	Prostatic	T017	UMLS:C0033572
27498545	1575	1585	urothelial	T017	UMLS:C0227598
27498545	1586	1593	markers	T103	UMLS:C0041365
27498545	1605	1608	PSA	T103	UMLS:C0138741
27498545	1610	1616	NKX3.1	T103	UMLS:C1505704
27498545	1618	1621	p63	T103	UMLS:C1431519
27498545	1623	1637	thrombomodulin	T103	UMLS:C0145779
27498545	1643	1648	GATA3	T103	UMLS:C1307598
27498545	1685	1688	PAC	T038	UMLS:C0007112
27498545	1694	1696	UC	T038	UMLS:C2145472
27498545	1725	1734	prostatic	T017	UMLS:C0033572
27498545	1739	1749	urothelial	T017	UMLS:C0227598
27498545	1750	1757	markers	T103	UMLS:C0041365
27498545	1764	1771	improve	T033	UMLS:C0184511
27498545	1776	1783	ability	T033	UMLS:C1299581
27498545	1801	1804	PAC	T038	UMLS:C0007112
27498545	1810	1812	UC	T038	UMLS:C2145472
