27603917|t|Structural, Culinary, Nutritional and Anti-Nutritional Properties of High Protein, Gluten Free, 100% Legume Pasta
27603917|a|Wheat pasta has a compact structure built by a gluten network entrapping starch granules resulting in a low glycemic index, but is nevertheless unsuitable for gluten - intolerant people. High protein gluten-free legume flours, rich in fibers, resistant starch and minerals are thus a good alternative for gluten-free pasta production. In this study, gluten-free pasta was produced exclusively from faba, lentil or black-gram flours. The relationship between their structure, their cooking and Rheological properties and their in-vitro starch digestion was analyzed and compared to cereal gluten-free commercial pasta. Trypsin inhibitory activity, phytic acid and α-galactosides were determined in flours and in cooked pasta. All legume pasta were rich in protein, resistant starch and fibers. They had a thick but weak protein network, which is built during the pasta cooking step. This particular structure altered pasta springiness and increased cooking losses. Black-gram pasta, which is especially rich in soluble fibers, differed from faba and lentil pasta, with high springiness (0.85 vs. 0.75) and less loss during cooking. In comparison to a commercial cereal gluten-free pasta, all the legume pasta lost less material during cooking but was less cohesive and springy. Interestingly, due to their particular composition and structure, lentil and faba pasta released their starch more slowly than the commercial gluten-free pasta during the in-vitro digestion process. Anti-nutritional factors in legumes, such as trypsin inhibitory activity and α-galactosides were reduced by up to 82% and 73%, respectively, by pasta processing and cooking. However, these processing steps had a minor effect on phytic acid. This study demonstrates the advantages of using legumes for the production of gluten-free pasta with a low glycemic index and high nutritional quality.
27603917	0	10	Structural	T103	UMLS:C1510464
27603917	12	20	Culinary	T033	UMLS:C0243095
27603917	38	54	Anti-Nutritional	T033	UMLS:C0243095
27603917	74	81	Protein	T103	UMLS:C0033684
27603917	83	113	Gluten Free, 100% Legume Pasta	T168	UMLS:C0460378
27603917	114	119	Wheat	T168	UMLS:C0043137
27603917	120	125	pasta	T168	UMLS:C0452694
27603917	140	149	structure	T082	UMLS:C0678594
27603917	161	167	gluten	T103	UMLS:C0017842
27603917	273	279	gluten	T103	UMLS:C0017842
27603917	293	299	people	T098	UMLS:C0027361
27603917	306	313	protein	T103	UMLS:C0033684
27603917	314	325	gluten-free	T058	UMLS:C0344351
27603917	326	332	legume	T168	UMLS:C0453184
27603917	333	339	flours	T168	UMLS:C0016260
27603917	349	355	fibers	T103	UMLS:C0225326
27603917	367	373	starch	T103	UMLS:C0038179
27603917	378	386	minerals	T103	UMLS:C0026162
27603917	419	436	gluten-free pasta	T168	UMLS:C0460378
27603917	457	462	study	T062	UMLS:C2603343
27603917	464	481	gluten-free pasta	T168	UMLS:C0460378
27603917	512	516	faba	T168	UMLS:C0004896
27603917	518	524	lentil	T168	UMLS:C0023323
27603917	528	538	black-gram	T168	UMLS:C0453212
27603917	539	545	flours	T168	UMLS:C0016260
27603917	578	587	structure	T082	UMLS:C0678594
27603917	649	655	starch	T103	UMLS:C0038179
27603917	656	665	digestion	T038	UMLS:C0012238
27603917	670	678	analyzed	T062	UMLS:C0936012
27603917	695	701	cereal	T168	UMLS:C0007757
27603917	702	713	gluten-free	T058	UMLS:C0344351
27603917	714	724	commercial	T170	UMLS:C0680536
27603917	725	730	pasta	T168	UMLS:C0452694
27603917	732	739	Trypsin	T103	UMLS:C0041236
27603917	740	759	inhibitory activity	T038	UMLS:C1524081
27603917	761	772	phytic acid	T103	UMLS:C0031855
27603917	777	791	α-galactosides	T103	UMLS:C0016956
27603917	811	817	flours	T168	UMLS:C0016260
27603917	832	837	pasta	T168	UMLS:C0452694
27603917	843	849	legume	T168	UMLS:C0453184
27603917	850	855	pasta	T168	UMLS:C0452694
27603917	869	876	protein	T103	UMLS:C0033684
27603917	888	894	starch	T103	UMLS:C0038179
27603917	899	905	fibers	T103	UMLS:C0225326
27603917	933	940	protein	T103	UMLS:C0033684
27603917	976	981	pasta	T168	UMLS:C0452694
27603917	1012	1021	structure	T082	UMLS:C0678594
27603917	1030	1035	pasta	T168	UMLS:C0452694
27603917	1078	1088	Black-gram	T168	UMLS:C0453212
27603917	1089	1094	pasta	T168	UMLS:C0452694
27603917	1132	1138	fibers	T103	UMLS:C0225326
27603917	1154	1158	faba	T168	UMLS:C0004896
27603917	1163	1169	lentil	T168	UMLS:C0023323
27603917	1170	1175	pasta	T168	UMLS:C0452694
27603917	1264	1274	commercial	T170	UMLS:C0680536
27603917	1275	1281	cereal	T168	UMLS:C0007757
27603917	1282	1299	gluten-free pasta	T168	UMLS:C0460378
27603917	1309	1315	legume	T168	UMLS:C0453184
27603917	1316	1321	pasta	T168	UMLS:C0452694
27603917	1446	1455	structure	T082	UMLS:C0678594
27603917	1457	1463	lentil	T168	UMLS:C0023323
27603917	1468	1472	faba	T168	UMLS:C0004896
27603917	1473	1478	pasta	T168	UMLS:C0452694
27603917	1494	1500	starch	T103	UMLS:C0038179
27603917	1522	1532	commercial	T170	UMLS:C0680536
27603917	1533	1550	gluten-free pasta	T168	UMLS:C0460378
27603917	1571	1588	digestion process	T038	UMLS:C0012238
27603917	1590	1606	Anti-nutritional	T033	UMLS:C0243095
27603917	1618	1625	legumes	T168	UMLS:C0453184
27603917	1635	1642	trypsin	T103	UMLS:C0041236
27603917	1643	1662	inhibitory activity	T038	UMLS:C1524081
27603917	1667	1681	α-galactosides	T103	UMLS:C0016956
27603917	1734	1739	pasta	T168	UMLS:C0452694
27603917	1818	1829	phytic acid	T103	UMLS:C0031855
27603917	1879	1886	legumes	T168	UMLS:C0453184
27603917	1909	1952	gluten-free pasta with a low glycemic index	T168	UMLS:C0475638
