27614652|t|In situ stabilization of heavy metals in multiple- metal contaminated paddy soil using different steel slag -based silicon fertilizer
27614652|a|Steel slag has been widely used as amendment and silicon fertilizer to alleviate the mobility and bioavailability of heavy metals in soil. The objective of this study was to evaluate the influence of particle size, composition, and application rate of slag on metal immobilization in acidic soil, metals uptake by rice and rice growth. The results indicated that application of slag increased soil pH, plant -available silicon concentrations in soil, and decreased the bioavailability of metals compared with control treatment, whereas pulverous slag (S1) was more effective than granular slag (S2 and S3). The acid - extractable fraction of Cd in the spiked soil was significantly decreased with application of S1 at rates of 1 and 3 %, acid-extractable fractions of Cu and Zn were decreased when treated at 3 %. Use of S1 at both rates resulted in significantly lower Cd, Cu, and Zn concentrations in rice tissues than in controls by 82.6-92.9, 88.4-95.6, and 67.4-81.4 %, respectively. However, use of pulverous slag at 1 % significantly promotes rice growth, restricted rice growth when treated at 3 %. Thus, the results explained that reduced particle size and suitable application rate of slag could be beneficial to rice growth and metals stabilization.
27614652	0	7	In situ	T082	UMLS:C0444498
27614652	25	37	heavy metals	T103	UMLS:C0347988
27614652	51	56	metal	T103	UMLS:C0025552
27614652	70	75	paddy	T204	UMLS:C1083174
27614652	97	102	steel	T103	UMLS:C0038239
27614652	115	122	silicon	T103	UMLS:C0037107
27614652	123	133	fertilizer	T103	UMLS:C0015919
27614652	134	139	Steel	T103	UMLS:C0038239
27614652	183	190	silicon	T103	UMLS:C0037107
27614652	191	201	fertilizer	T103	UMLS:C0015919
27614652	219	227	mobility	T033	UMLS:C0425245
27614652	251	263	heavy metals	T103	UMLS:C0347988
27614652	277	286	objective	T170	UMLS:C0018017
27614652	295	300	study	T062	UMLS:C2603343
27614652	308	316	evaluate	T058	UMLS:C0220825
27614652	394	399	metal	T103	UMLS:C0025552
27614652	418	424	acidic	T103	UMLS:C0001128
27614652	431	437	metals	T103	UMLS:C0025552
27614652	438	444	uptake	T038	UMLS:C0243144
27614652	448	452	rice	T204	UMLS:C1140671
27614652	457	461	rice	T204	UMLS:C1140671
27614652	462	468	growth	T038	UMLS:C0220844
27614652	536	541	plant	T204	UMLS:C0032098
27614652	553	560	silicon	T103	UMLS:C0037107
27614652	622	628	metals	T103	UMLS:C0025552
27614652	745	749	acid	T103	UMLS:C0001128
27614652	776	778	Cd	T103	UMLS:C0006632
27614652	902	904	Cu	T103	UMLS:C0009968
27614652	909	911	Zn	T103	UMLS:C0043481
27614652	1004	1006	Cd	T103	UMLS:C0006632
27614652	1008	1010	Cu	T103	UMLS:C0009968
27614652	1016	1018	Zn	T103	UMLS:C0043481
27614652	1037	1041	rice	T204	UMLS:C1140671
27614652	1042	1049	tissues	T017	UMLS:C1514137
27614652	1184	1188	rice	T204	UMLS:C1140671
27614652	1189	1195	growth	T038	UMLS:C0220844
27614652	1208	1212	rice	T204	UMLS:C1140671
27614652	1213	1219	growth	T038	UMLS:C0220844
27614652	1357	1361	rice	T204	UMLS:C1140671
27614652	1362	1368	growth	T038	UMLS:C0220844
27614652	1373	1379	metals	T103	UMLS:C0025552
