27703342|t|Chronic Pseudomonas aeruginosa infection - induced chronic bronchitis and emphysematous changes in CCSP - deficient mice
27703342|a|The club cell secretory protein (CCSP) is a regulator of lung inflammation following acute respiratory infection or lung injury. Recently, the relationship between CCSP and COPD has been reported. Since COPD results from an abnormal inflammatory response, we hypothesized that CCSP could have a protective role against chronic inflammation - induced lung damage. To address this issue, the pathophysiology of chronic lung inflammation induced by Pseudomonas aeruginosa in CCSP - deficient mice was determined. A tube of 5 mm in length was soaked in a fluid containing P. aeruginosa (PAO01 strain) for 1 week and inserted into the trachea of CCSP - deficient mice. One week later, P. aeruginosa was administered into the trachea. Five weeks after insertion of tube, the mice were sacrificed. Bronchoalveolar lavage fluids were collected to determine the bacterial growth, and the lung histology and physiology were also examined. P. aeruginosa was continuously detected in bronchoalveolar lavage fluids during the study. Neutrophils were increased in the bronchoalveolar lavage fluids from the CCSP - deficient mice in comparison to wild-type mice. A histological study demonstrated chronic inflammation around bronchus, serious bronchial stenosis, and alveolar enlargement in the CCSP - deficient mice. The lung physiology study demonstrated an increase in the lung compliance of the CCSP - deficient mice. Chronic P. aeruginosa inflammation resulted in chronic bronchitis and emphysematous changes in the CCSP - deficient mice. CCSP could play an important role in protecting the host from the chronic inflammation - induced lung damage.
27703342	0	40	Chronic Pseudomonas aeruginosa infection	T038	UMLS:C0854135
27703342	51	69	chronic bronchitis	T038	UMLS:C0008677
27703342	99	103	CCSP	T103	UMLS:C1505368
27703342	116	120	mice	T204	UMLS:C0025929
27703342	125	152	club cell secretory protein	T103	UMLS:C1505368
27703342	154	158	CCSP	T103	UMLS:C1505368
27703342	178	195	lung inflammation	T038	UMLS:C0032285
27703342	206	233	acute respiratory infection	T038	UMLS:C0339901
27703342	237	248	lung injury	T037	UMLS:C0273115
27703342	285	289	CCSP	T103	UMLS:C1505368
27703342	294	298	COPD	T038	UMLS:C0024117
27703342	308	316	reported	T058	UMLS:C0700287
27703342	324	328	COPD	T038	UMLS:C0024117
27703342	345	375	abnormal inflammatory response	T017	UMLS:C4022805
27703342	398	402	CCSP	T103	UMLS:C1505368
27703342	440	460	chronic inflammation	T038	UMLS:C0021376
27703342	471	482	lung damage	T037	UMLS:C0273115
27703342	530	555	chronic lung inflammation	T038	UMLS:C0032285
27703342	567	589	Pseudomonas aeruginosa	T007	UMLS:C0033809
27703342	593	597	CCSP	T103	UMLS:C1505368
27703342	610	614	mice	T204	UMLS:C0025929
27703342	660	666	soaked	T058	UMLS:C0204774
27703342	689	702	P. aeruginosa	T007	UMLS:C0033809
27703342	751	758	trachea	T017	UMLS:C0040578
27703342	762	766	CCSP	T103	UMLS:C1505368
27703342	779	783	mice	T204	UMLS:C0025929
27703342	801	814	P. aeruginosa	T007	UMLS:C0033809
27703342	841	848	trachea	T017	UMLS:C0040578
27703342	890	894	mice	T204	UMLS:C0025929
27703342	912	941	Bronchoalveolar lavage fluids	T031	UMLS:C0006279
27703342	974	983	bacterial	T007	UMLS:C0004611
27703342	984	990	growth	T038	UMLS:C0018270
27703342	1000	1004	lung	T017	UMLS:C0024109
27703342	1019	1029	physiology	T038	UMLS:C0031843
27703342	1050	1063	P. aeruginosa	T007	UMLS:C0033809
27703342	1093	1122	bronchoalveolar lavage fluids	T031	UMLS:C0006279
27703342	1141	1152	Neutrophils	T017	UMLS:C0027950
27703342	1175	1204	bronchoalveolar lavage fluids	T031	UMLS:C0006279
27703342	1214	1218	CCSP	T103	UMLS:C1505368
27703342	1231	1235	mice	T204	UMLS:C0025929
27703342	1263	1267	mice	T204	UMLS:C0025929
27703342	1271	1289	histological study	T091	UMLS:C0019638
27703342	1303	1323	chronic inflammation	T038	UMLS:C0021376
27703342	1331	1339	bronchus	T017	UMLS:C0006255
27703342	1341	1367	serious bronchial stenosis	T017	UMLS:C0151536
27703342	1373	1393	alveolar enlargement	T038	UMLS:C0012634
27703342	1401	1405	CCSP	T103	UMLS:C1505368
27703342	1418	1422	mice	T204	UMLS:C0025929
27703342	1428	1432	lung	T017	UMLS:C0024109
27703342	1433	1443	physiology	T038	UMLS:C0031843
27703342	1482	1497	lung compliance	T038	UMLS:C0024112
27703342	1505	1509	CCSP	T103	UMLS:C1505368
27703342	1522	1526	mice	T204	UMLS:C0025929
27703342	1536	1549	P. aeruginosa	T007	UMLS:C0033809
27703342	1550	1562	inflammation	T038	UMLS:C0021376
27703342	1575	1593	chronic bronchitis	T038	UMLS:C0008677
27703342	1627	1631	CCSP	T103	UMLS:C1505368
27703342	1644	1648	mice	T204	UMLS:C0025929
27703342	1650	1654	CCSP	T103	UMLS:C1505368
27703342	1716	1736	chronic inflammation	T038	UMLS:C0021376
27703342	1747	1758	lung damage	T037	UMLS:C0273115
