27769797|t|Learning by observing: the effect of multiple sessions of action-observation training on the spontaneous movement tempo and motor resonance
27769797|a|The present study was designed to explore the changes in motor performance and motor resonance after multiple sessions of action observation (AO) training. Subjects were exposed to the observation of a video showing finger tapping movements executed at 3Hz, a frequency higher than the spontaneous one (2Hz) for four consecutive days. Motor performance and motor resonance were tested before the AO training on the first day, and on the last day. Results showed that multiple sessions of AO training induced a shift of the speed of execution of finger tapping movements toward the observed one and a change in motor resonance. Before the 3Hz- AO training cortical excitability was highest during the observation of the 2Hz video. This motor resonance effect was lost after one single session of 3Hz- AO training whereas after multiple sessions of 3Hz- AO training cortical excitability was highest during the observation of the 3Hz video. Our study shows for the first time that multiple sessions of AO training are able not only to induce performance gains but also to change the way by which the observer's motor system recognizes a certain movement as belonging to the individual motor repertoire. These results may encourage the development of novel rehabilitative protocols based on multiple sessions of action observation aimed to regain a correct movement when its spontaneous speed is modified by pathologies or to modify the innate temporal properties of certain movements.
27769797	0	8	Learning	T038	UMLS:C0023185
27769797	105	113	movement	T038	UMLS:C0026649
27769797	114	139	tempo and motor resonance	T038	UMLS:C0025361
27769797	152	157	study	T062	UMLS:C2603343
27769797	219	234	motor resonance	T038	UMLS:C0025361
27769797	296	304	Subjects	T098	UMLS:C0080105
27769797	342	347	video	T170	UMLS:C3463807
27769797	371	380	movements	T038	UMLS:C0026649
27769797	497	512	motor resonance	T038	UMLS:C0025361
27769797	587	594	Results	T033	UMLS:C2825142
27769797	700	709	movements	T038	UMLS:C0026649
27769797	750	765	motor resonance	T038	UMLS:C0025361
27769797	795	816	cortical excitability	T038	UMLS:C4277734
27769797	863	868	video	T170	UMLS:C3463807
27769797	875	890	motor resonance	T038	UMLS:C0025361
27769797	1004	1025	cortical excitability	T038	UMLS:C4277734
27769797	1072	1077	video	T170	UMLS:C3463807
27769797	1083	1088	study	T062	UMLS:C2603343
27769797	1283	1291	movement	T038	UMLS:C0026649
27769797	1347	1354	results	T033	UMLS:C2825142
27769797	1494	1502	movement	T038	UMLS:C0026649
27769797	1545	1556	pathologies	T038	UMLS:C0006119
27769797	1612	1621	movements	T038	UMLS:C0026649
