27799920|t|Genetic Identification of a PilT Motor in Geobacter sulfurreducens Reveals a Role for Pilus Retraction in Extracellular Electron Transfer
27799920|a|The metal - reducing bacterium Geobacter sulfurreducens requires the expression of conductive pili to reduce iron oxides and to wire electroactive biofilms, but the role of pilus retraction in these functions has remained elusive. Here we show that of the four PilT proteins encoded in the genome of G. sulfurreducens, PilT3 powered pilus retraction in planktonic cells of a PilT - deficient strain of P. aeruginosa and restored the dense mutant biofilms to wild-type levels. Furthermore, PilT3 and PilT4 rescued the twitching motility defect of the PilT - deficient mutant. However, PilT4 was the only paralog whose inactivation in G. sulfurreducens lead to phenotypes associated with the hyperpiliation of non-retractile mutants such as enhanced adhesion and biofilm-forming abilities. In addition, PilT4 was required to reduce iron oxides. Taken together, the results indicate that PilT4 is the motor ATPase of G. sulfurreducens pili and reveal a previously unrecognized role for pilus retraction in extracellular electron transfer, a strategy that confers on Geobacter spp. an adaptive advantage for metal reduction in the natural environment.
27799920	0	22	Genetic Identification	T058	UMLS:C0796344
27799920	28	38	PilT Motor	T103	UMLS:C1720835
27799920	42	66	Geobacter sulfurreducens	T007	UMLS:C1005676
27799920	86	102	Pilus Retraction	T038	UMLS:C1326523
27799920	106	119	Extracellular	T017	UMLS:C0521119
27799920	120	137	Electron Transfer	T038	UMLS:C0013846
27799920	142	147	metal	T103	UMLS:C0025552
27799920	159	168	bacterium	T007	UMLS:C0004611
27799920	169	193	Geobacter sulfurreducens	T007	UMLS:C1005676
27799920	207	217	expression	T038	UMLS:C0017262
27799920	232	236	pili	T017	UMLS:C0031921
27799920	247	258	iron oxides	T103	UMLS:C0060240
27799920	271	293	electroactive biofilms	T007	UMLS:C0081786
27799920	311	327	pilus retraction	T038	UMLS:C1326523
27799920	337	346	functions	T038	UMLS:C0007613
27799920	399	412	PilT proteins	T103	UMLS:C1720835
27799920	428	434	genome	T017	UMLS:C0017428
27799920	438	455	G. sulfurreducens	T007	UMLS:C1005676
27799920	457	462	PilT3	T103	UMLS:C1720835
27799920	471	487	pilus retraction	T038	UMLS:C1326523
27799920	491	507	planktonic cells	T017	UMLS:C0007634
27799920	513	517	PilT	T103	UMLS:C1720835
27799920	540	553	P. aeruginosa	T007	UMLS:C0033809
27799920	577	583	mutant	T017	UMLS:C0678941
27799920	584	592	biofilms	T007	UMLS:C0081786
27799920	596	605	wild-type	T017	UMLS:C1883559
27799920	627	632	PilT3	T103	UMLS:C1720835
27799920	637	642	PilT4	T103	UMLS:C1720835
27799920	655	673	twitching motility	T038	UMLS:C1752724
27799920	688	692	PilT	T103	UMLS:C1720835
27799920	705	711	mutant	T017	UMLS:C0678941
27799920	722	727	PilT4	T103	UMLS:C1720835
27799920	741	748	paralog	T170	UMLS:C0008902
27799920	771	788	G. sulfurreducens	T007	UMLS:C1005676
27799920	828	842	hyperpiliation	T038	UMLS:C0007613
27799920	846	868	non-retractile mutants	T017	UMLS:C0678941
27799920	886	894	adhesion	T038	UMLS:C0004614
27799920	939	944	PilT4	T103	UMLS:C1720835
27799920	968	979	iron oxides	T103	UMLS:C0060240
27799920	1023	1028	PilT4	T103	UMLS:C1720835
27799920	1042	1048	ATPase	T103	UMLS:C1706373
27799920	1052	1069	G. sulfurreducens	T007	UMLS:C1005676
27799920	1070	1074	pili	T017	UMLS:C0031921
27799920	1121	1137	pilus retraction	T038	UMLS:C1326523
27799920	1141	1154	extracellular	T017	UMLS:C0521119
27799920	1155	1172	electron transfer	T038	UMLS:C0013846
27799920	1201	1214	Geobacter spp	T007	UMLS:C1012737
27799920	1242	1247	metal	T103	UMLS:C0025552
27799920	1265	1284	natural environment	T082	UMLS:C0557745
