27807521|t|Assessment of isokinetic muscle function in Korea male volleyball athletes
27807521|a|Volleyball players performed numerous repetitions of spike actions, which uses and requires strong and explosive force, and control of the muscles of the shoulder, lower back, and legs. Muscle imbalance is one of the main causes of sport injuries. The purpose of this study was to assess isokinetic muscle functions in male volleyball players. We thus aim to accurately evaluate their muscle functions, and identify the best training strategy to achieve optimal muscle strength balance in future training programs. The participants in this study consisted of 14 male volleyball players. Muscle strength was measured using the isokinetic dynamometer. Muscle strength was evaluated in terms of peak torque and average power, calculated from five repeated measurements at an angular speed of 60°/sec. Three players who were left attackers showed shoulder imbalance, four players showed trunk joint imbalance, nine players had knee joint of extension/flexion imbalance and four players showed left/right imbalance. The results showed that the number of volleyball players with differences between the strength of the bilateral knee muscles, and between the strength of the hamstrings and quadriceps muscles was higher than the number of players with differences between the strength of the shoulder internal and external rotation muscles, and higher than the number of players with differences between the strength of the lower back extension and flexion muscles.
27807521	0	10	Assessment	T058	UMLS:C0220825
27807521	14	40	isokinetic muscle function	T033	UMLS:C1562476
27807521	44	49	Korea	T082	UMLS:C0022771
27807521	66	74	athletes	T097	UMLS:C0238703
27807521	86	93	players	T097	UMLS:C0238703
27807521	128	141	spike actions	T038	UMLS:C0920875
27807521	178	193	explosive force	T038	UMLS:C0517349
27807521	214	221	muscles	T017	UMLS:C0026845
27807521	229	237	shoulder	T082	UMLS:C0037004
27807521	239	249	lower back	T082	UMLS:C2939142
27807521	255	259	legs	T017	UMLS:C1140621
27807521	313	321	injuries	T037	UMLS:C0043251
27807521	343	348	study	T062	UMLS:C2603343
27807521	363	390	isokinetic muscle functions	T033	UMLS:C1562476
27807521	410	417	players	T097	UMLS:C0238703
27807521	460	476	muscle functions	T038	UMLS:C0231484
27807521	529	552	optimal muscle strength	T038	UMLS:C0517349
27807521	594	606	participants	T098	UMLS:C0679646
27807521	615	620	study	T062	UMLS:C2603343
27807521	653	660	players	T097	UMLS:C0238703
27807521	662	677	Muscle strength	T038	UMLS:C0517349
27807521	701	723	isokinetic dynamometer	T074	UMLS:C0180572
27807521	725	740	Muscle strength	T038	UMLS:C0517349
27807521	879	886	players	T097	UMLS:C0238703
27807521	901	910	attackers	T097	UMLS:C0238703
27807521	918	926	shoulder	T082	UMLS:C0037004
27807521	943	950	players	T097	UMLS:C0238703
27807521	958	969	trunk joint	T082	UMLS:C0224674
27807521	986	993	players	T097	UMLS:C0238703
27807521	998	1008	knee joint	T082	UMLS:C0022745
27807521	1012	1029	extension/flexion	T082	UMLS:C0444509
27807521	1049	1056	players	T097	UMLS:C0238703
27807521	1064	1074	left/right	T082	UMLS:C0238767
27807521	1135	1142	players	T097	UMLS:C0238703
27807521	1172	1180	strength	T038	UMLS:C0517349
27807521	1188	1202	bilateral knee	T082	UMLS:C0582801
27807521	1203	1210	muscles	T017	UMLS:C0026845
27807521	1228	1236	strength	T038	UMLS:C0517349
27807521	1244	1254	hamstrings	T017	UMLS:C0584895
27807521	1259	1277	quadriceps muscles	T017	UMLS:C0224440
27807521	1308	1315	players	T097	UMLS:C0238703
27807521	1345	1353	strength	T038	UMLS:C0517349
27807521	1361	1369	shoulder	T082	UMLS:C0037004
27807521	1370	1400	internal and external rotation	T082	UMLS:C0442222
27807521	1401	1408	muscles	T017	UMLS:C0026845
27807521	1440	1447	players	T097	UMLS:C0238703
27807521	1477	1485	strength	T038	UMLS:C0517349
27807521	1493	1503	lower back	T082	UMLS:C2939142
27807521	1504	1525	extension and flexion	T082	UMLS:C0444509
27807521	1526	1533	muscles	T017	UMLS:C0026845
