27826671|t|A Feasibility Study of Telementoring for Identifying the Appendix Using Smartphone -Based Telesonography
27826671|a|We investigated the feasibility of the clinical application of novice - practitioner - performed / offsite - mentor -guided ultrasonography for identifying the appendix. A randomized crossover study was conducted using a telesonography system that can transmit the ultrasound images displayed on the ultrasound monitor (ultrasound sequence video) and images showing the practitioner's operations (background video) to a smartphone without any interruption in motion over a Long-Term Evolution (LTE) network. Thirty novice practitioners were randomly assigned to two groups. The subjects in group A (n = 15) performed ultrasonography for the identification of the appendix under mentoring by an onsite expert, whereas those in group B (n = 15) performed the same procedure under mentoring by an offsite expert. Each subject performed the procedure on three simulated patients. After a 4- week interval, they performed the procedure again under the other type of mentoring. A total of 90 ultrasound examinations were performed in each scenario. The primary outcomes were the success rate for identifying the appendix and the time required to identify the appendix. The success rates for identifying the appendix were 91.1 % (82/90) in onsite - mentored ultrasonography and 87.8 % (79/90) in offsite - mentored ultrasonography; both rates were high, and there was no significant difference (p = 0.468) between them. The time required in the case of offsite mentoring (median, 242.9 s; interquartile range (IQR), 238.2) was longer than that for onsite mentoring (median, 291.4 s; IQR, 200.9); however, the difference was not significant (p = 0.051). It appears that offsite mentoring can allow novice onsite practitioners to perform ultrasonography as effectively as they can under onsite mentoring, even for examinations that require proficiency in rather complex practices, such as identifying the appendix.
27826671	2	19	Feasibility Study	T062	UMLS:C0015730
27826671	57	65	Appendix	T017	UMLS:C0003617
27826671	90	104	Telesonography	T058	UMLS:C0430022
27826671	153	164	application	T058	UMLS:C0185125
27826671	177	189	practitioner	T097	UMLS:C1709627
27826671	204	211	offsite	T082	UMLS:C3828730
27826671	214	220	mentor	T098	UMLS:C0025369
27826671	229	244	ultrasonography	T058	UMLS:C0041618
27826671	265	273	appendix	T017	UMLS:C0003617
27826671	277	287	randomized	T062	UMLS:C0034656
27826671	288	303	crossover study	T062	UMLS:C0150097
27826671	370	380	ultrasound	T058	UMLS:C0041618
27826671	425	450	ultrasound sequence video	T170	UMLS:C3463807
27826671	475	489	practitioner's	T097	UMLS:C1709627
27826671	513	518	video	T170	UMLS:C3463807
27826671	627	640	practitioners	T097	UMLS:C1709627
27826671	683	691	subjects	T098	UMLS:C2349001
27826671	722	737	ultrasonography	T058	UMLS:C0041618
27826671	768	776	appendix	T017	UMLS:C0003617
27826671	799	805	onsite	T082	UMLS:C0205145
27826671	806	812	expert	T097	UMLS:C0009817
27826671	867	876	procedure	T058	UMLS:C0430022
27826671	899	906	offsite	T082	UMLS:C3828730
27826671	907	913	expert	T097	UMLS:C0009817
27826671	920	927	subject	T098	UMLS:C2349001
27826671	942	951	procedure	T058	UMLS:C0430022
27826671	1026	1035	procedure	T058	UMLS:C0430022
27826671	1091	1101	ultrasound	T058	UMLS:C0041618
27826671	1102	1114	examinations	T058	UMLS:C0582103
27826671	1211	1219	appendix	T017	UMLS:C0003617
27826671	1258	1266	appendix	T017	UMLS:C0003617
27826671	1306	1314	appendix	T017	UMLS:C0003617
27826671	1338	1344	onsite	T082	UMLS:C0205145
27826671	1356	1371	ultrasonography	T058	UMLS:C0041618
27826671	1394	1401	offsite	T082	UMLS:C3828730
27826671	1413	1428	ultrasonography	T058	UMLS:C0041618
27826671	1466	1480	no significant	T033	UMLS:C1273937
27826671	1551	1558	offsite	T082	UMLS:C3828730
27826671	1551	1558	offsite	T082	UMLS:C3828730
27826671	1646	1652	onsite	T082	UMLS:C0205145
27826671	1722	1737	not significant	T033	UMLS:C1273937
27826671	1767	1774	offsite	T082	UMLS:C3828730
27826671	1802	1808	onsite	T082	UMLS:C0205145
27826671	1809	1822	practitioners	T097	UMLS:C1709627
27826671	1834	1849	ultrasonography	T058	UMLS:C0041618
27826671	1883	1889	onsite	T082	UMLS:C0205145
27826671	1910	1922	examinations	T058	UMLS:C0582103
27826671	2001	2009	appendix	T017	UMLS:C0003617
