27871510|t|Anticholinergic premedication to prevent bradycardia in combined spinal anesthesia and dexmedetomidine sedation: a randomized, double-blind, placebo-controlled study
27871510|a|When dexmedetomidine is used in patients undergoing spinal anesthesia, high incidence of bradycardia in response to parasympathetic activation is reported. Therefore, we aimed to evaluate the effectiveness of atropine premedication for preventing the incidence of bradycardia and the hemodynamic effect on patients undergoing spinal anesthesia with sedation by dexmedetomidine. Randomized, double-blind, placebo-controlled study. Operating room. One hundred fourteen patients (age range, 2-65 years; American Society of Anesthesiology class I-II) participated in this study, willing to be sedated and to undergo spinal anesthesia. The patients were divided into 2 groups: group A and group C. After performing spinal anesthesia, dexmedetomidine was infused at a loading dose of 0.6 μg/kg for 10 minutes, followed by an infusion at 0.25 μg/(kg h). Simultaneously with the loading dose of dexmedetomidine, patients in group A received an intravenous bolus of 0.5 mg atropine, whereas patients in group C received an intravenous normal saline bolus. Data on administration of atropine and ephedrine were collected. Hemodynamic data including heart rate, systolic blood pressure, diastolic blood pressure (DBP), and mean blood pressure (MBP) were also recorded. The incidence of bradycardia requiring atropine treatment was significantly higher in group C than group A (P=.035). However, the incidence of hypotension needing ephedrine treatment showed no significant difference between the 2 groups (P=.7). Systolic blood pressure and heart rate showed no significant differences between the 2 groups (P=.138 and .464, respectively). However, group A showed significant increases in DBP and MBP, and group C did not (P=.014 and .008, respectively). Prophylactic atropine reduces the incidence of bradycardia in patients undergoing spinal anesthesia with dexmedetomidine sedation. However, DBP and MBP showed significant increases in patients when prophylactic atropine was administrated. Therefore, atropine premedication should be administered cautiously.
27871510	0	15	Anticholinergic	T103	UMLS:C0242896
27871510	16	29	premedication	T058	UMLS:C0033045
27871510	41	52	bradycardia	T038	UMLS:C0428977
27871510	65	82	spinal anesthesia	T058	UMLS:C0002928
27871510	87	102	dexmedetomidine	T103	UMLS:C0113293
27871510	103	111	sedation	T058	UMLS:C0344106
27871510	115	125	randomized	T062	UMLS:C0206034
27871510	127	139	double-blind	T062	UMLS:C0013072
27871510	171	186	dexmedetomidine	T103	UMLS:C0113293
27871510	218	235	spinal anesthesia	T058	UMLS:C0002928
27871510	255	266	bradycardia	T038	UMLS:C0428977
27871510	282	297	parasympathetic	T022	UMLS:C0030510
27871510	375	383	atropine	T103	UMLS:C0004259
27871510	384	397	premedication	T058	UMLS:C0033045
27871510	430	441	bradycardia	T038	UMLS:C0428977
27871510	450	468	hemodynamic effect	T038	UMLS:C0019010
27871510	492	509	spinal anesthesia	T058	UMLS:C0002928
27871510	515	523	sedation	T058	UMLS:C0344106
27871510	527	542	dexmedetomidine	T103	UMLS:C0113293
27871510	544	554	Randomized	T062	UMLS:C0206034
27871510	556	568	double-blind	T062	UMLS:C0013072
27871510	596	610	Operating room	T092	UMLS:C0029064
27871510	633	641	patients	T103	UMLS:C0113293
27871510	666	711	American Society of Anesthesiology class I-II	T092	UMLS:C0037459
27871510	734	739	study	T062	UMLS:C2603343
27871510	778	795	spinal anesthesia	T058	UMLS:C0002928
27871510	801	809	patients	T103	UMLS:C0113293
27871510	876	893	spinal anesthesia	T058	UMLS:C0002928
27871510	895	910	dexmedetomidine	T103	UMLS:C0113293
27871510	915	922	infused	T058	UMLS:C0574032
27871510	985	993	infusion	T058	UMLS:C0574032
27871510	1053	1068	dexmedetomidine	T103	UMLS:C0113293
27871510	1070	1078	patients	T103	UMLS:C0113293
27871510	1130	1138	atropine	T103	UMLS:C0004259
27871510	1148	1156	patients	T103	UMLS:C0113293
27871510	1206	1211	bolus	T058	UMLS:C1511237
27871510	1221	1235	administration	T058	UMLS:C1533734
27871510	1239	1247	atropine	T103	UMLS:C0004259
27871510	1252	1261	ephedrine	T103	UMLS:C0014479
27871510	1278	1289	Hemodynamic	T058	UMLS:C4281788
27871510	1305	1315	heart rate	T201	UMLS:C0018810
27871510	1317	1340	systolic blood pressure	T201	UMLS:C0871470
27871510	1342	1366	diastolic blood pressure	T201	UMLS:C0428883
27871510	1368	1371	DBP	T201	UMLS:C0428883
27871510	1378	1397	mean blood pressure	T033	UMLS:C0428886
27871510	1399	1402	MBP	T033	UMLS:C0428886
27871510	1441	1452	bradycardia	T038	UMLS:C0428977
27871510	1463	1471	atropine	T103	UMLS:C0004259
27871510	1472	1481	treatment	T058	UMLS:C0087111
27871510	1567	1578	hypotension	T033	UMLS:C0020649
27871510	1587	1596	ephedrine	T103	UMLS:C0014479
27871510	1597	1606	treatment	T058	UMLS:C0087111
27871510	1669	1692	Systolic blood pressure	T201	UMLS:C0871470
27871510	1697	1707	heart rate	T201	UMLS:C0018810
27871510	1845	1848	DBP	T201	UMLS:C0428883
27871510	1853	1856	MBP	T033	UMLS:C0428886
27871510	1911	1923	Prophylactic	T058	UMLS:C0199176
27871510	1924	1932	atropine	T103	UMLS:C0004259
27871510	1958	1969	bradycardia	T038	UMLS:C0428977
27871510	1973	1981	patients	T103	UMLS:C0113293
27871510	1993	2010	spinal anesthesia	T058	UMLS:C0002928
27871510	2016	2031	dexmedetomidine	T103	UMLS:C0113293
27871510	2032	2040	sedation	T058	UMLS:C0344106
27871510	2051	2054	DBP	T201	UMLS:C0428883
27871510	2059	2062	MBP	T033	UMLS:C0428886
27871510	2095	2103	patients	T103	UMLS:C0113293
27871510	2109	2121	prophylactic	T058	UMLS:C0199176
27871510	2122	2130	atropine	T103	UMLS:C0004259
27871510	2135	2148	administrated	T058	UMLS:C1533734
27871510	2161	2169	atropine	T103	UMLS:C0004259
27871510	2170	2183	premedication	T058	UMLS:C0033045
27871510	2194	2206	administered	T058	UMLS:C1533734
