27882066|t|Bioinformatic Analysis of Codon Usage and Phylogenetic Relationships in Different Genotypes of the Hepatitis C Virus
27882066|a|The hepatitis C virus (HCV) has six major genotypes. The purpose of this study was to phylogenetically investigate the differences between the genotypes of HCV, and to determine the types of amino acid codon usage in the structure of the virus in order to discover new methods for treatment regimes. The codon usage of the six genotypes of the HCV nucleotide sequence was investigated through the online application available on the website Gene Infinity. Also, phylogenetic analysis and the evolutionary relationship of HCV genotypes were analyzed with MEGA 7 software. The six genotypes of HCV were divided into two groups based on their codon usage properties. In the first group, genotypes 1 and 5 (74.02%), and in the second group, genotypes 2 and 6 (72.43%) were shown to have the most similarity in terms of codon usage. Unlike the results with respect to determining the similarity of codon usage, the phylogenetic analysis showed the closest resemblance and correlation between genotypes 1 and 4. The results also showed that HCV has a GC (guanine - cytosine) abundant genome structure and prefers codons with GC for translation. Genotypes 1 and 4 demonstrated remarkable similarity in terms of genome sequences and proteins, but surprisingly, in terms of the preferred codons for gene expression, they showed the greatest difference. More studies are therefore needed to confirm the results and select the best approach for treatment of these genotypes based on their codon usage properties.
27882066	0	13	Bioinformatic	T091	UMLS:C1140694
27882066	14	22	Analysis	T062	UMLS:C0936012
27882066	26	31	Codon	T082	UMLS:C0009221
27882066	99	116	Hepatitis C Virus	T005	UMLS:C0220847
27882066	121	138	hepatitis C virus	T005	UMLS:C0220847
27882066	140	143	HCV	T005	UMLS:C0220847
27882066	190	195	study	T062	UMLS:C2603343
27882066	203	231	phylogenetically investigate	T062	UMLS:C1519068
27882066	273	276	HCV	T005	UMLS:C0220847
27882066	308	318	amino acid	T103	UMLS:C0002520
27882066	319	324	codon	T082	UMLS:C0009221
27882066	338	360	structure of the virus	T017	UMLS:C2717802
27882066	398	415	treatment regimes	T058	UMLS:C0418956
27882066	421	426	codon	T082	UMLS:C0009221
27882066	461	464	HCV	T005	UMLS:C0220847
27882066	465	484	nucleotide sequence	T082	UMLS:C0004793
27882066	550	571	website Gene Infinity	T170	UMLS:C2349146
27882066	579	600	phylogenetic analysis	T062	UMLS:C1519068
27882066	638	641	HCV	T005	UMLS:C0220847
27882066	657	665	analyzed	T062	UMLS:C0936012
27882066	671	686	MEGA 7 software	T170	UMLS:C0037585
27882066	709	712	HCV	T005	UMLS:C0220847
27882066	757	762	codon	T082	UMLS:C0009221
27882066	932	937	codon	T082	UMLS:C0009221
27882066	1010	1015	codon	T082	UMLS:C0009221
27882066	1027	1048	phylogenetic analysis	T062	UMLS:C1519068
27882066	1152	1155	HCV	T005	UMLS:C0220847
27882066	1162	1164	GC	T103	UMLS:C0028630
27882066	1166	1173	guanine	T103	UMLS:C0018321
27882066	1166	1184	guanine - cytosine	T103	UMLS:C0028630
27882066	1176	1184	cytosine	T103	UMLS:C0010843
27882066	1195	1211	genome structure	T017	UMLS:C0017428
27882066	1224	1230	codons	T082	UMLS:C0009221
27882066	1342	1350	proteins	T103	UMLS:C0033684
27882066	1396	1402	codons	T082	UMLS:C0009221
27882066	1407	1422	gene expression	T038	UMLS:C0017262
27882066	1466	1473	studies	T062	UMLS:C2603343
27882066	1538	1546	approach	T082	UMLS:C0449445
27882066	1595	1600	codon	T082	UMLS:C0009221
