28081044|t|Evaluation of the Condom Barriers Scale for Young Black Men Who Have Sex With Men: Reliability and Validity of 3 Subscales
28081044|a|Reliable and valid scale measures of barriers to condom use are not available for young black men who have sex with men (YBMSM). The purpose of this study was to evaluate the Condom Barriers Scales for application with YBMSM. A clinic-based sample of 600 YBMSM completed a computer-assisted self-interview. The primary measure was a 14-item abbreviated version of the Condom Barriers Scale. Reliability and criterion validity were assessed. All 3 subscales were reliable: partner -related barriers (Cronbach α =0.73), sensation -related barriers (α=0.70), and motivation -related barriers (α =0.81). A complete absence of barriers was common: 47.0% (partner -related), 30.7% (sensation -related), and 46.5% (motivation -related). Dichotomized subscales were significantly associated with reporting any condomless insertive anal sex (all Ps < 0.001) and any condomless receptive anal sex (all Ps < 0.001). The subscales were significantly associated with these measures of condomless sex preserved at a continuous level (all Ps <0.001, except for sensation barriers associated with condomless receptive anal sex = 0.03). Further, the subscales were significantly associated with reporting any condom use problems (all Ps <0.001) and a measure of condomless oral sex (all Ps <0.001, except for partner -related barriers =0.31). Finally, the sensation -related barriers subscale was significantly associated with testing positive for Chlamydia and/or gonorrhea (P=0.049). The 3 identified subscales yielded adequate reliability and strong evidence of validity, thereby suggesting the utility of these brief measures for use in observational and experimental research with YBMSM.
28081044	0	10	Evaluation	T058	UMLS:C0220825
28081044	18	39	Condom Barriers Scale	T170	UMLS:C0349674
28081044	50	81	Black Men Who Have Sex With Men	T098	UMLS:C2827413
28081044	113	122	Subscales	T170	UMLS:C0349674
28081044	142	147	scale	T170	UMLS:C0349674
28081044	160	168	barriers	T058	UMLS:C0004764
28081044	211	242	black men who have sex with men	T098	UMLS:C2827413
28081044	244	249	YBMSM	T098	UMLS:C2827413
28081044	298	320	Condom Barriers Scales	T170	UMLS:C0349674
28081044	342	347	YBMSM	T098	UMLS:C2827413
28081044	378	383	YBMSM	T098	UMLS:C2827413
28081044	464	483	abbreviated version	T170	UMLS:C0282574
28081044	491	512	Condom Barriers Scale	T170	UMLS:C0349674
28081044	570	579	subscales	T170	UMLS:C0349674
28081044	595	602	partner	T098	UMLS:C0036911
28081044	612	620	barriers	T058	UMLS:C0004764
28081044	641	650	sensation	T038	UMLS:C0036658
28081044	660	668	barriers	T058	UMLS:C0004764
28081044	683	693	motivation	T038	UMLS:C0026605
28081044	703	711	barriers	T058	UMLS:C0004764
28081044	773	780	partner	T098	UMLS:C0036911
28081044	799	808	sensation	T038	UMLS:C0036658
28081044	831	841	motivation	T038	UMLS:C0026605
28081044	866	875	subscales	T170	UMLS:C0349674
28081044	925	935	condomless	T033	UMLS:C0420844
28081044	980	990	condomless	T033	UMLS:C0420844
28081044	1032	1041	subscales	T170	UMLS:C0349674
28081044	1095	1105	condomless	T033	UMLS:C0420844
28081044	1106	1109	sex	T038	UMLS:C0009253
28081044	1169	1178	sensation	T038	UMLS:C0036658
28081044	1179	1187	barriers	T058	UMLS:C0004764
28081044	1204	1214	condomless	T033	UMLS:C0420844
28081044	1256	1265	subscales	T170	UMLS:C0349674
28081044	1368	1378	condomless	T033	UMLS:C0420844
28081044	1415	1422	partner	T098	UMLS:C0036911
28081044	1432	1440	barriers	T058	UMLS:C0004764
28081044	1462	1471	sensation	T038	UMLS:C0036658
28081044	1481	1489	barriers	T058	UMLS:C0004764
28081044	1490	1498	subscale	T170	UMLS:C0349674
28081044	1541	1549	positive	T033	UMLS:C1514241
28081044	1554	1563	Chlamydia	T007	UMLS:C0008148
28081044	1571	1580	gonorrhea	T038	UMLS:C0018081
28081044	1609	1618	subscales	T170	UMLS:C0349674
28081044	1747	1760	observational	T062	UMLS:C1518527
28081044	1765	1786	experimental research	T062	UMLS:C0681814
28081044	1792	1797	YBMSM	T098	UMLS:C2827413
