28111379|t|Knocking down TCF8 inhibits high glucose - and angiotensin II - induced epithelial to mesenchymal transition in podocytes
28111379|a|Epithelial to mesenchymal transition (EMT) is a physiological phenomenon in mammalian embryogenesis by which epithelial cells become mesenchymal stem cells. Studies have indicated that an inappropriate EMT plays a key role in a variety of pathogenic processes such as embryonic development and tumor metastasis. Moreover, recent studies have indicated EMT also plays an important role in renal fibrosis. In the current study, glucose and angiotensin II promoted EMT in podocytes as well as changes in the cellular morphology of podocytes. A high concentration of glucose and angiotensin II also promoted podocyte movement and migration. Moreover, a high concentration of glucose and angiotensin II promoted TCF8 expression. Inhibiting TCF8 expression with siRNA reversed EMT in podocytes in the presence of a high concentration of glucose and angiotensin. Inhibiting TCF8 expression also reversed changes in cellular morphology and podocyte movement and migration. Therefore, glucose and angiotensin II may promote EMT in podocytes via TCF8.
28111379	0	13	Knocking down	T062	UMLS:C2350567
28111379	14	18	TCF8	T017	UMLS:C1420645
28111379	28	40	high glucose	T033	UMLS:C0860803
28111379	47	61	angiotensin II	T103	UMLS:C0003009
28111379	72	108	epithelial to mesenchymal transition	T038	UMLS:C1523298
28111379	112	121	podocytes	T017	UMLS:C1328818
28111379	122	158	Epithelial to mesenchymal transition	T038	UMLS:C1523298
28111379	160	163	EMT	T038	UMLS:C1523298
28111379	170	194	physiological phenomenon	T038	UMLS:C2350828
28111379	198	207	mammalian	T204	UMLS:C0024660
28111379	208	221	embryogenesis	T038	UMLS:C0013936
28111379	231	247	epithelial cells	T017	UMLS:C0014597
28111379	255	277	mesenchymal stem cells	T017	UMLS:C1257975
28111379	324	327	EMT	T038	UMLS:C1523298
28111379	361	371	pathogenic	T033	UMLS:C3816499
28111379	390	411	embryonic development	T038	UMLS:C0013936
28111379	416	432	tumor metastasis	T038	UMLS:C0027627
28111379	474	477	EMT	T038	UMLS:C1523298
28111379	510	524	renal fibrosis	T038	UMLS:C0151650
28111379	548	555	glucose	T103	UMLS:C0017725
28111379	560	574	angiotensin II	T103	UMLS:C0003009
28111379	584	587	EMT	T038	UMLS:C1523298
28111379	591	600	podocytes	T017	UMLS:C1328818
28111379	627	646	cellular morphology	T201	UMLS:C1521816
28111379	650	659	podocytes	T017	UMLS:C1328818
28111379	685	692	glucose	T103	UMLS:C0017725
28111379	697	711	angiotensin II	T103	UMLS:C0003009
28111379	726	734	podocyte	T017	UMLS:C1328818
28111379	735	743	movement	T038	UMLS:C1621968
28111379	748	757	migration	T038	UMLS:C1622501
28111379	793	800	glucose	T103	UMLS:C0017725
28111379	805	819	angiotensin II	T103	UMLS:C0003009
28111379	829	833	TCF8	T017	UMLS:C1420645
28111379	834	844	expression	T038	UMLS:C0017262
28111379	857	861	TCF8	T017	UMLS:C1420645
28111379	862	872	expression	T038	UMLS:C0017262
28111379	878	883	siRNA	T103	UMLS:C1099354
28111379	893	896	EMT	T038	UMLS:C1523298
28111379	900	909	podocytes	T017	UMLS:C1328818
28111379	953	960	glucose	T103	UMLS:C0017725
28111379	965	976	angiotensin	T103	UMLS:C0003018
28111379	989	993	TCF8	T017	UMLS:C1420645
28111379	994	1004	expression	T038	UMLS:C0017262
28111379	1030	1049	cellular morphology	T201	UMLS:C1521816
28111379	1054	1062	podocyte	T017	UMLS:C1328818
28111379	1063	1071	movement	T038	UMLS:C1621968
28111379	1076	1085	migration	T038	UMLS:C1622501
28111379	1098	1105	glucose	T103	UMLS:C0017725
28111379	1110	1124	angiotensin II	T103	UMLS:C0003009
28111379	1137	1140	EMT	T038	UMLS:C1523298
28111379	1144	1153	podocytes	T017	UMLS:C1328818
28111379	1158	1162	TCF8	T017	UMLS:C1420645
