28183822|t|DEVELOPMENT OF A TECHNIQUE FOR DETERMINATION OF PULMONARY ARTERY PULSE WAVE VELOCITY IN HORSES
28183822|a|Calcification of the tunica media of the axial pulmonary arteries (PA) has been reported in a large proportion of racehorses. In humans, medial calcification is a significant cause of arterial stiffening and is implicated in the pathogenesis of cardiac, cerebral and renal microvascular diseases. Pulse wave velocity (PWV) provides a measure of arterial stiffness. This study aimed to develop a technique to determine PA - PWV in horses, and secondarily to investigate a potential association between PA - PWV and arterial fibro-calcification. A dual pressure sensor catheter (PSC) was placed in the main PA of 10 sedated horses. The pressure waves were used to determine PWV along the PA, using the statistical phase offset method. Histological analysis of the PA was performed to investigate the presence of fibro-calcified lesions. The mean (±SD) PWV was 2.3±0.7m/s in the proximal PA trunk and 1.1±0.1m/s further distal (15cm) in a main PA branch. The mean (±SD) of mean arterial pressures in the proximal PA trunk was 30.1±5.2mmHg, and 22.0±6.0mmHg further distal (15cm) within the main PA branch. The mean (±SD) pulse pressure in the proximal PA trunk was 15.0±4.7mmHg, and 13.5±3.3mmHg further distal (15cm) within the main PA branch. Moderate to severe lesions of the tunica media of the PAs were observed in 7 horses, but a correlation with PWV could not be established yet. Pulmonary artery PWV may be determined in standing horses. The technique described may allow further investigation of the effect of calcification of large PAs in the pathogenesis of equine pulmonary circulatory disorders.
28183822	31	44	DETERMINATION	T058	UMLS:C1148554
28183822	48	64	PULMONARY ARTERY	T017	UMLS:C0034052
28183822	88	94	HORSES	T204	UMLS:C0019944
28183822	95	108	Calcification	T038	UMLS:C1533591
28183822	116	128	tunica media	T017	UMLS:C0162867
28183822	136	160	axial pulmonary arteries	T017	UMLS:C0034052
28183822	162	164	PA	T017	UMLS:C0034052
28183822	209	219	racehorses	T204	UMLS:C1561445
28183822	224	230	humans	T204	UMLS:C0086418
28183822	232	252	medial calcification	T038	UMLS:C0333491
28183822	279	298	arterial stiffening	T038	UMLS:C0599949
28183822	324	336	pathogenesis	T038	UMLS:C0699748
28183822	340	347	cardiac	T017	UMLS:C0018787
28183822	349	357	cerebral	T017	UMLS:C0006104
28183822	362	367	renal	T017	UMLS:C0022646
28183822	382	390	diseases	T038	UMLS:C0012634
28183822	440	458	arterial stiffness	T038	UMLS:C0599949
28183822	513	515	PA	T017	UMLS:C0034052
28183822	525	531	horses	T204	UMLS:C0019944
28183822	596	598	PA	T017	UMLS:C0034052
28183822	609	637	arterial fibro-calcification	T038	UMLS:C1168153
28183822	641	670	dual pressure sensor catheter	T074	UMLS:C0581447
28183822	672	675	PSC	T074	UMLS:C0581447
28183822	695	702	main PA	T017	UMLS:C0034052
28183822	709	716	sedated	T033	UMLS:C0235195
28183822	717	723	horses	T204	UMLS:C0019944
28183822	781	783	PA	T017	UMLS:C0034052
28183822	857	859	PA	T017	UMLS:C0034052
28183822	905	928	fibro-calcified lesions	T038	UMLS:C1533591
28183822	971	988	proximal PA trunk	T017	UMLS:C2954153
28183822	1004	1018	further distal	T082	UMLS:C0205108
28183822	1031	1045	main PA branch	T017	UMLS:C1282007
28183822	1070	1088	arterial pressures	T038	UMLS:C0232108
28183822	1096	1113	proximal PA trunk	T017	UMLS:C2954153
28183822	1149	1163	further distal	T082	UMLS:C0205108
28183822	1182	1196	main PA branch	T017	UMLS:C1282007
28183822	1213	1227	pulse pressure	T038	UMLS:C0949236
28183822	1235	1252	proximal PA trunk	T017	UMLS:C2954153
28183822	1288	1302	further distal	T082	UMLS:C0205108
28183822	1321	1335	main PA branch	T017	UMLS:C1282007
28183822	1349	1363	severe lesions	T033	UMLS:C0221198
28183822	1371	1383	tunica media	T017	UMLS:C0162867
28183822	1391	1394	PAs	T017	UMLS:C0034052
28183822	1414	1420	horses	T204	UMLS:C0019944
28183822	1479	1495	Pulmonary artery	T017	UMLS:C0034052
28183822	1530	1536	horses	T204	UMLS:C0019944
28183822	1611	1624	calcification	T038	UMLS:C1533591
28183822	1634	1637	PAs	T017	UMLS:C0034052
28183822	1645	1667	pathogenesis of equine	T038	UMLS:C0019940
28183822	1668	1699	pulmonary circulatory disorders	T038	UMLS:C0178272
