28192718|t|Quantitative determination of five metabolites of aspirin by UHPLC-MS / MS coupled with enzymatic reaction and its application to evaluate the effects of aspirin dosage on the metabolic profile
28192718|a|Acetylsalicylic acid (Aspirin, ASA) is a famous drug for cardiovascular diseases in recent years. Effects of ASA dosage on the metabolic profile have not been fully understood. The purpose of our study is to establish a rapid and reliable method to quantify ASA metabolites in biological matrices, especially for glucuronide metabolites whose standards are not commercially available. Then we applied this method to evaluate the effects of ASA dosage on the metabolic and excretion profile of ASA metabolites in rat urine. Salicylic acid (SA), gentisic acid (GA) and salicyluric acid (SUA) were determined directly by UHPLC-MS / MS, while salicyl phenolic glucuronide (SAPG) and salicyluric acid phenolic glucuronide (SUAPG) were quantified indirectly by measuring the released SA and SUA from SAPG and SUAPG after β-glucuronidase digestion. SUA and SUAPG were the major metabolites of ASA in rat urine 24 h after ASA administration, which accounted for 50% (SUA) and 26% (SUAPG). When ASA dosage was increased, the contributions dropped to 32% and 18%, respectively. The excretion of other three metabolites (GA, SA and SAPG) however showed remarkable increases by 16%, 6% and 4%, respectively. In addition, SUA and SUAPG were mainly excreted in the time period of 12-24 h, while GA was excreted in the earlier time periods (0-4 h and 4-8 h). SA was mainly excreted in the time period of 0-4 h and 12-24 h. And the excretion of SAPG was equally distributed in the four time periods. We went further to show that the excretion of five metabolites in rat urine was delayed when ASA dosage was increased. In conclusion, we have developed a rapid and sensitive method to determine the five ASA metabolites (SA, GA, SUA, SAPG and SUAPG) in rat urine. We showed that ASA dosage could significantly influence the metabolic and excretion profile of ASA metabolites in rat urine.
28192718	13	26	determination	T058	UMLS:C1148554
28192718	35	46	metabolites	T103	UMLS:C0870883
28192718	50	57	aspirin	T103	UMLS:C0004057
28192718	61	69	UHPLC-MS	T058	UMLS:C4053724
28192718	72	74	MS	T058	UMLS:C0037813
28192718	88	106	enzymatic reaction	T038	UMLS:C1511131
28192718	154	161	aspirin	T103	UMLS:C0004057
28192718	176	193	metabolic profile	T038	UMLS:C3853758
28192718	194	214	Acetylsalicylic acid	T103	UMLS:C0004057
28192718	216	223	Aspirin	T103	UMLS:C0004057
28192718	225	228	ASA	T103	UMLS:C0004057
28192718	242	246	drug	T103	UMLS:C0013227
28192718	251	274	cardiovascular diseases	T038	UMLS:C0007222
28192718	303	306	ASA	T103	UMLS:C0004057
28192718	321	338	metabolic profile	T038	UMLS:C3853758
28192718	390	395	study	T062	UMLS:C2603343
28192718	433	439	method	T058	UMLS:C0022885
28192718	452	455	ASA	T103	UMLS:C0004057
28192718	456	467	metabolites	T103	UMLS:C0870883
28192718	471	490	biological matrices	T031	UMLS:C1706515
28192718	507	518	glucuronide	T103	UMLS:C0812407
28192718	519	530	metabolites	T103	UMLS:C0870883
28192718	600	606	method	T058	UMLS:C0022885
28192718	634	637	ASA	T103	UMLS:C0004057
28192718	652	661	metabolic	T038	UMLS:C3853758
28192718	666	675	excretion	T038	UMLS:C0221102
28192718	687	690	ASA	T103	UMLS:C0004057
28192718	691	702	metabolites	T103	UMLS:C0870883
28192718	706	709	rat	T204	UMLS:C0034721
28192718	710	715	urine	T031	UMLS:C0042036
28192718	717	731	Salicylic acid	T103	UMLS:C0036079
28192718	733	735	SA	T103	UMLS:C0036079
28192718	738	751	gentisic acid	T103	UMLS:C0045555
28192718	753	755	GA	T103	UMLS:C0045555
28192718	761	777	salicyluric acid	T103	UMLS:C0073984
28192718	779	782	SUA	T103	UMLS:C0073984
28192718	812	820	UHPLC-MS	T058	UMLS:C4053724
28192718	823	825	MS	T058	UMLS:C0037813
28192718	833	861	salicyl phenolic glucuronide	T103	UMLS:C0044622
28192718	863	867	SAPG	T103	UMLS:C0044622
28192718	873	910	salicyluric acid phenolic glucuronide	T103	UMLS:C0752086
28192718	912	917	SUAPG	T103	UMLS:C0752086
28192718	972	974	SA	T103	UMLS:C0036079
28192718	979	982	SUA	T103	UMLS:C0073984
28192718	988	992	SAPG	T103	UMLS:C0044622
28192718	997	1002	SUAPG	T103	UMLS:C0752086
28192718	1009	1024	β-glucuronidase	T103	UMLS:C0017776
28192718	1025	1034	digestion	T038	UMLS:C0012238
28192718	1036	1039	SUA	T103	UMLS:C0073984
28192718	1044	1049	SUAPG	T103	UMLS:C0752086
28192718	1065	1076	metabolites	T103	UMLS:C0870883
28192718	1080	1083	ASA	T103	UMLS:C0004057
28192718	1087	1090	rat	T204	UMLS:C0034721
28192718	1091	1096	urine	T031	UMLS:C0042036
28192718	1108	1111	ASA	T103	UMLS:C0004057
28192718	1153	1156	SUA	T103	UMLS:C0073984
28192718	1167	1172	SUAPG	T103	UMLS:C0752086
28192718	1180	1183	ASA	T103	UMLS:C0004057
28192718	1266	1275	excretion	T038	UMLS:C0221102
28192718	1291	1302	metabolites	T103	UMLS:C0870883
28192718	1304	1306	GA	T103	UMLS:C0045555
28192718	1308	1310	SA	T103	UMLS:C0036079
28192718	1315	1319	SAPG	T103	UMLS:C0044622
28192718	1403	1406	SUA	T103	UMLS:C0073984
28192718	1411	1416	SUAPG	T103	UMLS:C0752086
28192718	1429	1437	excreted	T038	UMLS:C0221102
28192718	1475	1477	GA	T103	UMLS:C0045555
28192718	1482	1490	excreted	T038	UMLS:C0221102
28192718	1538	1540	SA	T103	UMLS:C0036079
28192718	1552	1560	excreted	T038	UMLS:C0221102
28192718	1610	1619	excretion	T038	UMLS:C0221102
28192718	1623	1627	SAPG	T103	UMLS:C0044622
28192718	1711	1720	excretion	T038	UMLS:C0221102
28192718	1729	1740	metabolites	T103	UMLS:C0870883
28192718	1744	1747	rat	T204	UMLS:C0034721
28192718	1748	1753	urine	T031	UMLS:C0042036
28192718	1771	1774	ASA	T103	UMLS:C0004057
28192718	1852	1858	method	T058	UMLS:C0022885
28192718	1881	1884	ASA	T103	UMLS:C0004057
28192718	1885	1896	metabolites	T103	UMLS:C0870883
28192718	1898	1900	SA	T103	UMLS:C0036079
28192718	1902	1904	GA	T103	UMLS:C0045555
28192718	1906	1909	SUA	T103	UMLS:C0073984
28192718	1911	1915	SAPG	T103	UMLS:C0044622
