28258925|t|Parkinsonian gait improves with bilateral subthalamic nucleus deep brain stimulation during cognitive multi-tasking
28258925|a|Gait impairment in Parkinson's disease reduces mobility and increases fall risk, particularly during cognitive multi-tasking. Studies suggest that bilateral subthalamic deep brain stimulation, a common surgical therapy, degrades motor performance under cognitive dual-task conditions, compared to unilateral stimulation. To measure the impact of bilateral versus unilateral subthalamic deep brain stimulation on walking kinematics with and without cognitive dual-tasking. Gait kinematics of seventeen patients with advanced Parkinson's disease who had undergone bilateral subthalamic deep brain stimulation were examined off medication under three stimulation states (bilateral, unilateral left, unilateral right) with and without a cognitive challenge, using an instrumented walkway system. Consistent with earlier studies, gait performance declined for all six measured parameters under cognitive dual-task conditions, independent of stimulation state. However, bilateral stimulation produced greater improvements in step length and double-limb support time than unilateral stimulation, and achieved similar performance for other gait parameters. Contrary to expectations from earlier studies of dual-task motor performance, bilateral subthalamic deep brain stimulation may assist in maintaining temporal and spatial gait performance under cognitive dual-task conditions.
28258925	0	17	Parkinsonian gait	T033	UMLS:C0427160
28258925	32	41	bilateral	T082	UMLS:C0238767
28258925	42	61	subthalamic nucleus	T017	UMLS:C0152355
28258925	62	84	deep brain stimulation	T058	UMLS:C0394162
28258925	116	131	Gait impairment	T033	UMLS:C3808195
28258925	135	154	Parkinson's disease	T038	UMLS:C0030567
28258925	186	195	fall risk	T033	UMLS:C1268740
28258925	242	249	Studies	T062	UMLS:C0681814
28258925	263	272	bilateral	T082	UMLS:C0238767
28258925	273	284	subthalamic	T082	UMLS:C0152349
28258925	285	307	deep brain stimulation	T058	UMLS:C0394162
28258925	318	334	surgical therapy	T058	UMLS:C0543467
28258925	424	435	stimulation	T058	UMLS:C0394162
28258925	462	471	bilateral	T082	UMLS:C0238767
28258925	479	489	unilateral	T082	UMLS:C0205092
28258925	490	501	subthalamic	T082	UMLS:C0152349
28258925	502	524	deep brain stimulation	T058	UMLS:C0394162
28258925	528	546	walking kinematics	T091	UMLS:C0600169
28258925	588	592	Gait	T033	UMLS:C0016928
28258925	593	603	kinematics	T091	UMLS:C0600169
28258925	640	659	Parkinson's disease	T038	UMLS:C0030567
28258925	678	687	bilateral	T082	UMLS:C0238767
28258925	688	699	subthalamic	T082	UMLS:C0152349
28258925	700	722	deep brain stimulation	T058	UMLS:C0394162
28258925	764	775	stimulation	T058	UMLS:C0394162
28258925	784	793	bilateral	T082	UMLS:C0238767
28258925	941	945	gait	T033	UMLS:C0016928
28258925	1052	1063	stimulation	T058	UMLS:C0394162
28258925	1080	1089	bilateral	T082	UMLS:C0238767
28258925	1090	1101	stimulation	T058	UMLS:C0394162
28258925	1135	1146	step length	T033	UMLS:C0427126
28258925	1151	1162	double-limb	T017	UMLS:C0015385
28258925	1181	1191	unilateral	T082	UMLS:C0205092
28258925	1192	1203	stimulation	T058	UMLS:C0394162
28258925	1248	1252	gait	T033	UMLS:C0016928
28258925	1303	1310	studies	T062	UMLS:C0681814
28258925	1343	1352	bilateral	T082	UMLS:C0238767
28258925	1353	1364	subthalamic	T082	UMLS:C0152349
28258925	1365	1387	deep brain stimulation	T058	UMLS:C0394162
28258925	1435	1439	gait	T033	UMLS:C0016928
