28284884|t|Risk of advanced lesions at the first follow-up colonoscopy after polypectomy of diminutive versus small adenomatous polyps of low-grade dysplasia
28284884|a|The current guidelines for surveillance after polypectomy do not distinguish between diminutive (1-5 mm) and small (6-9 mm) polyps with low-grade dysplasia (LGD). We aimed to evaluate the risk for advanced neoplasia on follow-up colonoscopy. We retrospectively analyzed 443 patients whose worst finding at index colonoscopy was polypectomy of 1 to 5 or 6 to 9 mm polyps with LGD and those who underwent a follow-up colonoscopy. During a mean follow-up of 32.0 months (interquartile range 13-48 months), advanced neoplasia was found in 26 patients (5.9%). Among all included patients (n = 443), advanced neoplasia was found in 13 of 310 patients (4.2%) of the 1- to 5-mm group versus 13 of 133 patients (9.8%) of the 6- to 9-mm group (hazard ratio [HR], 3.49; 95% confidence interval [CI], 1.6-7.6). Among the patients with 1 to 2 polyps resected (n = 313), advanced neoplasia was found in 8 of 231 patients (3.5%) of the 1- to 5-mm group versus 8 of 82 patients (9.8%) of the 6- to 9-mm group (HR 3.97; 95% CI, 1.47-10.7). Among the patients with ≥3 polyps resected (n = 130), advanced neoplasia was found in 5 of 79 patients (6.3%) of the 1- to 5-mm group versus 5 of 51 patients (9.8%) of the 6- to 9-mm group (HR 2.4; 95% CI, 0.7-8.36). Fair bowel preparation also was associated with the risk for advanced neoplasia at follow-up (HR 3.87, 95% CI, 1.70-8.82). Our findings suggest that among patients with up to 9-mm adenomatous polyps, a polyp size of 6 to 9 mm, >2 polyps, and fair bowel preparation are associated with advanced neoplasia.
28284884	17	24	lesions	T033	UMLS:C0221198
28284884	38	47	follow-up	T058	UMLS:C1522577
28284884	48	59	colonoscopy	T058	UMLS:C0009378
28284884	66	77	polypectomy	T058	UMLS:C0521210
28284884	105	123	adenomatous polyps	T038	UMLS:C0206677
28284884	137	146	dysplasia	T038	UMLS:C0334044
28284884	159	169	guidelines	T170	UMLS:C0162791
28284884	174	186	surveillance	T058	UMLS:C0733511
28284884	193	204	polypectomy	T058	UMLS:C0521210
28284884	271	277	polyps	T017	UMLS:C0032584
28284884	293	302	dysplasia	T038	UMLS:C0334044
28284884	304	307	LGD	T038	UMLS:C0334044
28284884	322	330	evaluate	T058	UMLS:C0220825
28284884	353	362	neoplasia	T038	UMLS:C0027651
28284884	366	375	follow-up	T058	UMLS:C1522577
28284884	376	387	colonoscopy	T058	UMLS:C0009378
28284884	392	416	retrospectively analyzed	T062	UMLS:C0035363
28284884	453	470	index colonoscopy	T058	UMLS:C3274817
28284884	475	486	polypectomy	T058	UMLS:C0521210
28284884	510	516	polyps	T017	UMLS:C0032584
28284884	522	525	LGD	T038	UMLS:C0334044
28284884	552	561	follow-up	T058	UMLS:C1522577
28284884	562	573	colonoscopy	T058	UMLS:C0009378
28284884	589	598	follow-up	T058	UMLS:C1522577
28284884	659	668	neoplasia	T038	UMLS:C0027651
28284884	673	678	found	T033	UMLS:C0150312
28284884	750	759	neoplasia	T038	UMLS:C0027651
28284884	764	769	found	T033	UMLS:C0150312
28284884	977	983	polyps	T017	UMLS:C0032584
28284884	984	992	resected	T058	UMLS:C0015252
28284884	1013	1022	neoplasia	T038	UMLS:C0027651
28284884	1027	1032	found	T033	UMLS:C0150312
28284884	1197	1203	polyps	T017	UMLS:C0032584
28284884	1204	1212	resected	T058	UMLS:C0015252
28284884	1233	1242	neoplasia	T038	UMLS:C0027651
28284884	1247	1252	found	T033	UMLS:C0150312
28284884	1392	1397	bowel	T017	UMLS:C0021853
28284884	1457	1466	neoplasia	T038	UMLS:C0027651
28284884	1470	1479	follow-up	T058	UMLS:C1522577
28284884	1514	1522	findings	T033	UMLS:C0243095
28284884	1567	1585	adenomatous polyps	T038	UMLS:C0206677
28284884	1589	1599	polyp size	T201	UMLS:C1299212
28284884	1617	1623	polyps	T017	UMLS:C0032584
28284884	1634	1639	bowel	T017	UMLS:C0021853
28284884	1681	1690	neoplasia	T038	UMLS:C0027651
