28286864|t|In Vivo Expansion of Melanoma -Specific T Cells Using Microneedle Arrays Coated with Immune-Polyelectrolyte Multilayers
28286864|a|Microneedles (MNs) are micron-scale polymeric or metallic structures that offer distinct advantages for vaccines by efficiently targeting skin -resident immune cells, eliminating injection-associated pain, and improving patient compliance. These advantages, along with recent studies showing therapeutic benefits achieved using traditional intradermal injections in human cancer patients, suggest MN delivery might enhance cancer vaccines and immunotherapies. We recently developed a new class of polyelectrolyte multilayers based on the self-assembly of model peptide antigens and molecular toll-like receptor agonists (TLRa) into ultrathin, conformal coatings. Here, we reasoned that these immune polyelectrolyte multilayers (iPEMs) might be a useful platform for assembling cancer vaccine components on MN arrays for intradermal delivery from these substrates. Using conserved human melanoma antigens and a potent TLRa vaccine adjuvant, CpG, we show that iPEMs can be assembled on MNs in an automated fashion. These films, prepared with up to 128 layers, are approximately 200 nm thick but provide cancer vaccine cargo loading >225 μg/cm(2). In cell culture, iPEM cargo released from MNs is internalized by primary dendritic cells, promotes activation of these cells, and expands T cells during coculture. In mice, application of iPEM -coated MNs results in the codelivery of tumor antigen and CpG through the skin, expanding tumor -specific T cells during initial MN applications and resulting in larger memory recall responses during a subsequent booster MN application. This study support MNs coated with PEMs built from tumor vaccine components as a well-defined, modular system for generating tumor -specific immune responses, enabling new approaches that can be explored in combination with checkpoint blockade or other combination cancer therapies.
28286864	0	7	In Vivo	T082	UMLS:C1515655
28286864	8	17	Expansion	T038	UMLS:C0007595
28286864	21	29	Melanoma	T038	UMLS:C0025202
28286864	40	47	T Cells	T017	UMLS:C0039194
28286864	54	65	Microneedle	T074	UMLS:C0027551
28286864	85	119	Immune-Polyelectrolyte Multilayers	T103	UMLS:C0005479
28286864	120	132	Microneedles	T074	UMLS:C0027551
28286864	134	137	MNs	T074	UMLS:C0027551
28286864	156	165	polymeric	T103	UMLS:C0032521
28286864	224	232	vaccines	T103	UMLS:C0042210
28286864	258	262	skin	T022	UMLS:C1123023
28286864	273	285	immune cells	T017	UMLS:C0312740
28286864	299	324	injection-associated pain	T033	UMLS:C1096717
28286864	396	403	studies	T062	UMLS:C2603343
28286864	460	482	intradermal injections	T058	UMLS:C0021489
28286864	486	491	human	T204	UMLS:C0086418
28286864	517	519	MN	T074	UMLS:C0027551
28286864	543	558	cancer vaccines	T103	UMLS:C0376659
28286864	563	578	immunotherapies	T058	UMLS:C0021083
28286864	617	644	polyelectrolyte multilayers	T103	UMLS:C0005479
28286864	681	697	peptide antigens	T103	UMLS:C0003320
28286864	702	739	molecular toll-like receptor agonists	T103	UMLS:C0243192
28286864	741	745	TLRa	T103	UMLS:C0243192
28286864	812	846	immune polyelectrolyte multilayers	T103	UMLS:C0005479
28286864	848	853	iPEMs	T103	UMLS:C0005479
28286864	897	911	cancer vaccine	T103	UMLS:C0376659
28286864	926	928	MN	T074	UMLS:C0027551
28286864	940	960	intradermal delivery	T058	UMLS:C0021489
28286864	1000	1005	human	T204	UMLS:C0086418
28286864	1006	1023	melanoma antigens	T103	UMLS:C2936596
28286864	1037	1049	TLRa vaccine	T103	UMLS:C0243192
28286864	1060	1063	CpG	T103	UMLS:C0042210
28286864	1078	1083	iPEMs	T103	UMLS:C0005479
28286864	1104	1107	MNs	T074	UMLS:C0027551
28286864	1221	1235	cancer vaccine	T103	UMLS:C0376659
28286864	1268	1280	cell culture	T058	UMLS:C0007585
28286864	1282	1286	iPEM	T103	UMLS:C0005479
28286864	1307	1310	MNs	T074	UMLS:C0027551
28286864	1338	1353	dendritic cells	T017	UMLS:C0011306
28286864	1384	1389	cells	T017	UMLS:C0007634
28286864	1403	1410	T cells	T017	UMLS:C0039194
28286864	1418	1427	coculture	T058	UMLS:C0282547
28286864	1432	1436	mice	T204	UMLS:C0025929
28286864	1438	1449	application	T058	UMLS:C0185125
28286864	1453	1457	iPEM	T103	UMLS:C0005479
28286864	1466	1469	MNs	T074	UMLS:C0027551
28286864	1499	1504	tumor	T038	UMLS:C0027651
28286864	1505	1512	antigen	T103	UMLS:C0003320
28286864	1517	1520	CpG	T103	UMLS:C0042210
28286864	1533	1537	skin	T022	UMLS:C1123023
28286864	1549	1554	tumor	T038	UMLS:C0027651
28286864	1565	1572	T cells	T017	UMLS:C0039194
28286864	1588	1590	MN	T074	UMLS:C0027551
28286864	1591	1603	applications	T058	UMLS:C0185125
28286864	1628	1651	memory recall responses	T038	UMLS:C0679063
28286864	1680	1682	MN	T074	UMLS:C0027551
28286864	1683	1694	application	T058	UMLS:C0185125
28286864	1701	1706	study	T062	UMLS:C2603343
28286864	1715	1718	MNs	T074	UMLS:C0027551
28286864	1731	1735	PEMs	T103	UMLS:C0005479
28286864	1747	1752	tumor	T038	UMLS:C0027651
28286864	1753	1760	vaccine	T103	UMLS:C0042210
28286864	1821	1826	tumor	T038	UMLS:C0027651
28286864	1837	1853	immune responses	T038	UMLS:C0301872
28286864	1961	1977	cancer therapies	T058	UMLS:C0920425
