28293475|t|Nationwide hospital -based survey of idiopathic normal pressure hydrocephalus in Japan: Epidemiological and clinical characteristics
28293475|a|There have been no nationwide epidemiological studies of idiopathic normal pressure hydrocephalus (iNPH) in Japan. Therefore, a nationwide epidemiologic survey of iNPH was performed to determine the number of cases and clinical characteristics by sex and diagnostic level. The first survey examined the numbers of cases that met the diagnostic criteria of iNPH and those who underwent shunt operations in 2012. The second survey gathered patients ' details to clarify their clinical background characteristics. The estimated number of cases meeting the diagnostic criteria in 2012 was 12,900, with 6,700 undergoing shunt operations. The estimated crude prevalence was 10.2/100,000 persons. The age of onset was in the 70s in more than 50% of both men and women. Significantly higher (p < .05) frequencies of gait impairment in men and cognitive decline in women were observed as initial symptoms. At the time of definitive diagnosis, gait impairment was observed most frequently in patients with definite iNPH (77.7%). Hypertension was the most frequent comorbidity (40.0%), followed by diabetes mellitus (17.8%) and Alzheimer's disease (14.8%). Hypertension was observed more frequently in men, but diabetes was observed more frequently in women (p < .05). An LP shunt was the first-choice (55.1%) treatment of iNPH, followed by a VP shunt (43.2%). This study showed that iNPH occurs most frequently in the 70s, gait impairment and cognitive decline are the most frequent initial symptoms in men and women, respectively, and hypertension and diabetes are the most frequent comorbidities in men and women, respectively.
28293475	11	19	hospital	T092	UMLS:C0019994
28293475	27	33	survey	T170	UMLS:C0038951
28293475	37	77	idiopathic normal pressure hydrocephalus	T038	UMLS:C2047886
28293475	81	86	Japan	T082	UMLS:C0022341
28293475	163	186	epidemiological studies	T062	UMLS:C0002783
28293475	190	230	idiopathic normal pressure hydrocephalus	T038	UMLS:C2047886
28293475	232	236	iNPH	T038	UMLS:C2047886
28293475	241	246	Japan	T082	UMLS:C0022341
28293475	272	292	epidemiologic survey	T170	UMLS:C0038951
28293475	296	300	iNPH	T038	UMLS:C2047886
28293475	416	422	survey	T170	UMLS:C0038951
28293475	466	485	diagnostic criteria	T170	UMLS:C0679228
28293475	489	493	iNPH	T038	UMLS:C2047886
28293475	518	534	shunt operations	T058	UMLS:C0543467
28293475	555	561	survey	T170	UMLS:C0038951
28293475	686	705	diagnostic criteria	T170	UMLS:C0679228
28293475	748	764	shunt operations	T058	UMLS:C0543467
28293475	814	821	persons	T098	UMLS:C0027361
28293475	880	883	men	T098	UMLS:C0025266
28293475	888	893	women	T098	UMLS:C0043210
28293475	941	956	gait impairment	T033	UMLS:C3808195
28293475	960	963	men	T098	UMLS:C0025266
28293475	968	985	cognitive decline	T033	UMLS:C2675948
28293475	989	994	women	T098	UMLS:C0043210
28293475	1020	1028	symptoms	T033	UMLS:C1457887
28293475	1056	1065	diagnosis	T033	UMLS:C0011900
28293475	1067	1082	gait impairment	T033	UMLS:C3808195
28293475	1138	1142	iNPH	T038	UMLS:C2047886
28293475	1152	1164	Hypertension	T038	UMLS:C0020538
28293475	1220	1237	diabetes mellitus	T038	UMLS:C0011849
28293475	1250	1269	Alzheimer's disease	T038	UMLS:C0002395
28293475	1279	1291	Hypertension	T038	UMLS:C0020538
28293475	1324	1327	men	T098	UMLS:C0025266
28293475	1333	1341	diabetes	T038	UMLS:C0011849
28293475	1374	1379	women	T098	UMLS:C0043210
28293475	1394	1402	LP shunt	T058	UMLS:C0087111
28293475	1432	1441	treatment	T058	UMLS:C0087111
28293475	1445	1449	iNPH	T038	UMLS:C2047886
28293475	1465	1473	VP shunt	T058	UMLS:C0087111
28293475	1506	1510	iNPH	T038	UMLS:C2047886
28293475	1546	1561	gait impairment	T033	UMLS:C3808195
28293475	1566	1583	cognitive decline	T033	UMLS:C2675948
28293475	1614	1622	symptoms	T033	UMLS:C1457887
28293475	1626	1629	men	T098	UMLS:C0025266
28293475	1634	1639	women	T098	UMLS:C0043210
28293475	1659	1671	hypertension	T038	UMLS:C0020538
28293475	1676	1684	diabetes	T038	UMLS:C0011849
28293475	1724	1727	men	T098	UMLS:C0025266
28293475	1732	1737	women	T098	UMLS:C0043210
