28323926|t|Psychological Distress Is More Prevalent in Fertile Age and Premenopausal Women with PCOS Symptoms -15-yr Follow-up
28323926|a|Polycystic ovary syndrome (PCOS) is associated with increased psychological distress; obesity and hyperandrogenism being suggested as key promoters. To investigate the prevalence of anxiety / depression and their coexistence in women with PCOS / PCOS symptoms at age s 31 and 46. The roles of obesity, hyperandrogenism and awareness of PCOS on psychological distress were also assessed. Population based follow-up. Northern Finland Birth Cohort 1966 with 15- year follow-up. At age 31 a questionnaire-based screening for oligoamenorrhea (OA) and hirsutism (H): 2188 asymptomatic (controls), 331 OA, 323 H, 125 OA + H (PCOS). 46 year old follow-up: 1576 controls, 239 OA, 231 H and 85 PCOS. Questionnaire-based screening for anxiety and depression symptoms (Hopkins Symptom Checklist-25) and previously diagnosed / treated depression at age 31 and 46. BMI, serum testosterone / free androgen index (FAI) and awareness of polycystic ovaries / PCOS on psychological distress were also assessed. Population-based prevalence of anxiety and/or depression in women with PCOS / PCOS symptoms at age s 31 and 46. Anxiety and/or depression symptoms, their coexistence and rate of depression were increased at age 31 and 46 in women with PCOS or isolated H compared with controls. High BMI or hyperandrogenism did not associate with increased anxiety or depression symptoms. The awareness of PCOS was associated with increased anxiety. Women with PCOS or isolated H present more often with anxiety and/or depression symptoms and their coexistence compared with controls. High BMI or hyperandrogenism did not provoke psychological distress in PCOS. The awareness of PCOS increased anxiety but did not associate with severe anxiety or depression.
28323926	44	51	Fertile	T038	UMLS:C0015895
28323926	60	73	Premenopausal	T038	UMLS:C0206158
28323926	74	79	Women	T098	UMLS:C0043210
28323926	85	89	PCOS	T038	UMLS:C0032460
28323926	90	98	Symptoms	T033	UMLS:C1457887
28323926	106	115	Follow-up	T058	UMLS:C1522577
28323926	116	141	Polycystic ovary syndrome	T038	UMLS:C0032460
28323926	143	147	PCOS	T038	UMLS:C0032460
28323926	202	209	obesity	T038	UMLS:C0028754
28323926	214	230	hyperandrogenism	T038	UMLS:C0206081
28323926	298	305	anxiety	T038	UMLS:C0003469
28323926	308	318	depression	T038	UMLS:C0011581
28323926	344	349	women	T098	UMLS:C0043210
28323926	355	359	PCOS	T038	UMLS:C0032460
28323926	362	366	PCOS	T038	UMLS:C0032460
28323926	367	375	symptoms	T033	UMLS:C1457887
28323926	409	416	obesity	T038	UMLS:C0028754
28323926	418	434	hyperandrogenism	T038	UMLS:C0206081
28323926	439	448	awareness	T038	UMLS:C0004448
28323926	452	456	PCOS	T038	UMLS:C0032460
28323926	503	529	Population based follow-up	T062	UMLS:C1709599
28323926	531	547	Northern Finland	T082	UMLS:C0016132
28323926	580	589	follow-up	T058	UMLS:C1522577
28323926	603	632	questionnaire-based screening	T062	UMLS:C1134635
28323926	637	652	oligoamenorrhea	T038	UMLS:C0028949
28323926	654	656	OA	T038	UMLS:C0028949
28323926	662	671	hirsutism	T038	UMLS:C0271610
28323926	673	674	H	T038	UMLS:C0271610
