28340260|t|A study on natural recovery of tassel fertilization and doubling method in maize haploids
28340260|a|Doubling method is the technical barriers in maize haploid breeding. It was very important to establish the independent intellectual property rights for doubling method. In this experiment, the maize haploid inducer, TG15, was used for producing maternal haploids. Also, haploids were obtained from two kinds of maternal genotypes involved in the experiment, including high-oil type and common type. Significant differences were observed among offspring of various genotypes in the recovery of haploid fertilization. In 21 hybrid offspring haploids, the average powder rate was 8.28%, and the seed setting rate was 4.98%. The experimental results showed that when the hybrids were treated with 0.08% colchicine, the average powder rate and seed setting rate of offspring haploids were 35.53 and 20.30%, respectively, which were significantly higher than the hybrids with natural recovery ability. This study primarily established the doubling method of haploids called " bud seedling method " in China which was very practicably in maize doubled haploid breeding.
28340260	31	37	tassel	T204	UMLS:C2717856
28340260	38	51	fertilization	T038	UMLS:C0015914
28340260	56	71	doubling method	T062	UMLS:C0242481
28340260	75	80	maize	T204	UMLS:C0010028
28340260	81	89	haploids	T017	UMLS:C1257912
28340260	90	105	Doubling method	T062	UMLS:C0242481
28340260	135	140	maize	T204	UMLS:C0010028
28340260	141	148	haploid	T017	UMLS:C1257912
28340260	149	157	breeding	T038	UMLS:C4042898
28340260	210	238	intellectual property rights	T170	UMLS:C2697756
28340260	243	258	doubling method	T062	UMLS:C0242481
28340260	268	278	experiment	T062	UMLS:C0681814
28340260	284	289	maize	T204	UMLS:C0010028
28340260	290	297	haploid	T017	UMLS:C1257912
28340260	336	344	maternal	T038	UMLS:C4277511
28340260	345	353	haploids	T017	UMLS:C1257912
28340260	361	369	haploids	T017	UMLS:C1257912
28340260	402	410	maternal	T038	UMLS:C4277511
28340260	437	447	experiment	T062	UMLS:C0681814
28340260	584	591	haploid	T017	UMLS:C1257912
28340260	592	605	fertilization	T038	UMLS:C0015914
28340260	630	638	haploids	T017	UMLS:C1257912
28340260	716	736	experimental results	T033	UMLS:C2825142
28340260	771	783	treated with	T058	UMLS:C0332293
28340260	790	800	colchicine	T103	UMLS:C0009262
28340260	861	869	haploids	T017	UMLS:C1257912
28340260	1024	1039	doubling method	T062	UMLS:C0242481
28340260	1043	1051	haploids	T017	UMLS:C1257912
28340260	1061	1080	bud seedling method	T062	UMLS:C0242481
28340260	1086	1091	China	T082	UMLS:C0008115
28340260	1122	1127	maize	T204	UMLS:C0010028
28340260	1136	1143	haploid	T017	UMLS:C1257912
28340260	1144	1152	breeding	T038	UMLS:C4042898
