28349200|t|Dispersal traits may reflect dispersal distances, but dispersers may not connect populations demographically
28349200|a|Ecological traits that reflect movement potential are often used as proxies for measured dispersal distances. Whether such traits reflect actual dispersal is often untested. Such tests are important because maximum dispersal distances may not be achieved and many dispersal events may be unsuccessful (without reproduction). For insects, many habitat patches harbour ' resident ' species that are present as larvae (sedentary) and adults (winged and dispersing), and ' itinerant ' species present only as adults that have dispersed from elsewhere and fail to reproduce. We tested whether itinerancy patterns were temporally consistent, and whether itinerant and resident species differed in wing morphology, a strong correlate of flight capability. Over 3 years and at multiple locations in a 22 km stream length, we sampled larvae and adults of caddisflies in the genus Ecnomus to categorize species as residents or itinerants. Flight capacity was measured using wing size (length and area) and shape parameters (aspect ratio and the second moment of wing area). Three species of Ecnomus were residents and three species were itinerants, and patterns were consistent over 3 years. On average, itinerant species had larger wings, suggesting a greater capacity to fly long distances. Wing shape differed between species, but did not differ systematically between residents and itinerants. Wing morphology was associated with actual but not effective dispersal of some species of Ecnomus. Morphological traits may have weak explanatory power for hypotheses regarding the demographic connectedness of populations, unless accompanied by data demonstrating which dispersers contribute new individuals to populations.
28349200	93	108	demographically	T062	UMLS:C0011289
28349200	140	148	movement	T038	UMLS:C0026649
28349200	419	431	reproduction	T038	UMLS:C0035150
28349200	438	445	insects	T204	UMLS:C0021585
28349200	452	459	habitat	T082	UMLS:C0871648
28349200	489	496	species	T170	UMLS:C1705920
28349200	506	513	present	T033	UMLS:C0150312
28349200	517	523	larvae	T204	UMLS:C0023047
28349200	540	546	adults	T204	UMLS:C0563200
28349200	548	554	winged	T033	UMLS:C0243095
28349200	590	597	species	T170	UMLS:C1705920
28349200	614	620	adults	T204	UMLS:C0563200
28349200	668	677	reproduce	T038	UMLS:C0035150
28349200	708	716	patterns	T082	UMLS:C0449774
28349200	780	787	species	T170	UMLS:C1705920
28349200	800	804	wing	T017	UMLS:C0043189
28349200	887	896	locations	T082	UMLS:C0450429
28349200	934	940	larvae	T204	UMLS:C0023047
28349200	945	951	adults	T204	UMLS:C0563200
28349200	955	966	caddisflies	T204	UMLS:C1003139
28349200	974	979	genus	T170	UMLS:C1708235
28349200	980	987	Ecnomus	T204	UMLS:C1203524
28349200	1002	1009	species	T170	UMLS:C1705920
28349200	1073	1077	wing	T017	UMLS:C0043189
28349200	1078	1082	size	T082	UMLS:C0456389
28349200	1095	1099	area	T082	UMLS:C0205146
28349200	1161	1165	wing	T017	UMLS:C0043189
28349200	1166	1170	area	T082	UMLS:C0205146
28349200	1179	1186	species	T170	UMLS:C1705920
28349200	1190	1197	Ecnomus	T204	UMLS:C1203524
28349200	1223	1230	species	T170	UMLS:C1705920
28349200	1252	1260	patterns	T082	UMLS:C0449774
28349200	1313	1320	species	T170	UMLS:C1705920
28349200	1332	1337	wings	T017	UMLS:C0043189
28349200	1392	1396	Wing	T017	UMLS:C0043189
28349200	1420	1427	species	T170	UMLS:C1705920
28349200	1420	1427	species	T170	UMLS:C1705920
28349200	1497	1501	Wing	T017	UMLS:C0043189
28349200	1576	1583	species	T170	UMLS:C1705920
28349200	1587	1594	Ecnomus	T204	UMLS:C1203524
28349200	1596	1609	Morphological	T082	UMLS:C0543482
28349200	1793	1804	individuals	T098	UMLS:C1257890
