28397991|t|Willing to Think Hard? The Subjective Value of Cognitive Effort in Children
28397991|a|Cognitive effort is costly and this cost likely influences the activities in which children engage. Yet, little is known about how school-age children perceive cognitive effort. The subjective value of cognitive effort, that is, how valuable or costly effort is perceived, was investigated in seventy-three 7- to 12- year-olds using an effort discounting paradigm. In two studies, it varied with task difficulty but not age, was predicted by actual effort engagement but not actual success and related to trait interest in effort ful activities and proactive control engagement. Children are sensitive to cognitive effort and use it to guide behaviors, suggesting that poor performance may often reflect reluctance to engage cognitive effort rather than low ability.
28397991	0	7	Willing	T033	UMLS:C0600109
28397991	11	21	Think Hard	T038	UMLS:C0039869
28397991	47	56	Cognitive	T038	UMLS:C0009240
28397991	57	63	Effort	T038	UMLS:C0015264
28397991	76	85	Cognitive	T038	UMLS:C0009240
28397991	86	92	effort	T038	UMLS:C0015264
28397991	236	245	cognitive	T038	UMLS:C0009240
28397991	246	252	effort	T038	UMLS:C0015264
28397991	278	287	cognitive	T038	UMLS:C0009240
28397991	288	294	effort	T038	UMLS:C0015264
28397991	328	334	effort	T038	UMLS:C0015264
28397991	412	418	effort	T038	UMLS:C0015264
28397991	448	455	studies	T062	UMLS:C2603343
28397991	525	531	effort	T038	UMLS:C0015264
28397991	581	586	trait	T033	UMLS:C0233849
28397991	587	595	interest	T038	UMLS:C0543488
28397991	599	605	effort	T038	UMLS:C0015264
28397991	681	690	cognitive	T038	UMLS:C0009240
28397991	691	697	effort	T038	UMLS:C0015264
28397991	745	761	poor performance	T033	UMLS:C1831741
28397991	772	779	reflect	T038	UMLS:C0558058
28397991	780	790	reluctance	T038	UMLS:C2347948
28397991	801	810	cognitive	T038	UMLS:C0009240
28397991	811	817	effort	T038	UMLS:C0015264
