28399452|t|Design, synthesis, and evaluation of curcumin derivatives as Nrf2 activators and cytoprotectors against oxidative death
28399452|a|Activation of nuclear factor erythroid-2-related factor 2 (Nrf2) has been proven to be an effective means to prevent the development of cancer, and natural curcumin stands out as a potent Nrf2 activator and cancer chemopreventive agent. In this study, we synthesized a series of curcumin analogs by introducing the geminal dimethyl substituents on the active methylene group to find more potent Nrf2 activators and cytoprotectors against oxidative death. The geminally dimethylated and catechol -type curcumin analog (compound 3) was identified as a promising lead molecule in terms of its increased stability and cytoprotective activity against the tert-butyl hydroperoxide (t-BHP)-induced death of HepG2 cells. Mechanism studies indicate that its cytoprotective effects are mediated by activating the Nrf2 signaling pathway in the Michael acceptor - and catechol -dependent manners. Additionally, we verified by using copper and iron ion chelators that the two metal ion -mediated oxidations of compound 3 to its corresponding electrophilic o-quinone, contribute significantly to its Nrf2 -dependent cytoprotection. This work provides an example of successfully designing natural curcumin -directed Nrf2 activators by a stability -increasing and proelectrophilic strategy.
28399452	23	33	evaluation	T058	UMLS:C0220825
28399452	37	45	curcumin	T103	UMLS:C0010467
28399452	46	57	derivatives	T103	UMLS:C0243072
28399452	61	65	Nrf2	T103	UMLS:C0289507
28399452	81	95	cytoprotectors	T038	UMLS:C0524828
28399452	104	119	oxidative death	T038	UMLS:C3893307
28399452	134	177	nuclear factor erythroid-2-related factor 2	T103	UMLS:C0289507
28399452	179	183	Nrf2	T103	UMLS:C0289507
28399452	256	262	cancer	T038	UMLS:C0006826
28399452	276	284	curcumin	T103	UMLS:C0010467
28399452	308	312	Nrf2	T103	UMLS:C0289507
28399452	327	333	cancer	T038	UMLS:C0006826
28399452	334	355	chemopreventive agent	T103	UMLS:C1516463
28399452	365	370	study	T062	UMLS:C2603343
28399452	399	407	curcumin	T103	UMLS:C0010467
28399452	408	415	analogs	T103	UMLS:C0243071
28399452	515	519	Nrf2	T103	UMLS:C0289507
28399452	535	549	cytoprotectors	T038	UMLS:C0524828
28399452	558	573	oxidative death	T038	UMLS:C3893307
28399452	606	614	catechol	T103	UMLS:C0054858
28399452	621	629	curcumin	T103	UMLS:C0010467
28399452	630	636	analog	T103	UMLS:C0243071
28399452	638	648	compound 3	T103	UMLS:C1254351
28399452	680	693	lead molecule	T103	UMLS:C1254351
28399452	720	729	stability	T038	UMLS:C0314668
28399452	734	748	cytoprotective	T038	UMLS:C0524828
28399452	770	794	tert-butyl hydroperoxide	T103	UMLS:C0076150
28399452	796	801	t-BHP	T103	UMLS:C0076150
28399452	811	816	death	T038	UMLS:C0007587
28399452	820	831	HepG2 cells	T017	UMLS:C2717940
28399452	843	850	studies	T062	UMLS:C2603343
28399452	869	883	cytoprotective	T038	UMLS:C0524828
28399452	923	927	Nrf2	T103	UMLS:C0289507
28399452	928	945	signaling pathway	T038	UMLS:C0037080
28399452	953	969	Michael acceptor	T103	UMLS:C1254351
28399452	976	984	catechol	T103	UMLS:C0054858
28399452	1040	1046	copper	T103	UMLS:C0009968
28399452	1051	1055	iron	T103	UMLS:C0302583
28399452	1056	1059	ion	T103	UMLS:C0022023
28399452	1060	1069	chelators	T103	UMLS:C0007974
28399452	1083	1088	metal	T103	UMLS:C0025552
28399452	1089	1092	ion	T103	UMLS:C0022023
28399452	1103	1113	oxidations	T038	UMLS:C0030011
28399452	1117	1127	compound 3	T103	UMLS:C1254351
28399452	1163	1172	o-quinone	T103	UMLS:C0034435
28399452	1206	1210	Nrf2	T103	UMLS:C0289507
28399452	1222	1236	cytoprotection	T038	UMLS:C0524828
28399452	1302	1310	curcumin	T103	UMLS:C0010467
28399452	1321	1325	Nrf2	T103	UMLS:C0289507
28399452	1342	1351	stability	T038	UMLS:C0314668
