28409651|t|Reliability of Fear Assessment in Growing Pigs Exposed to a Novel Object Test in Commercial Conditions
28409651|a|The objective of this study was to assess the reliability and feasibility of a novel object test assessing fear in pigs in commercial conditions. A total of 18 commercial farms were visited, and 321 pens housing 4,220 growing pigs were assessed. Three balloons were used as a novel stimulus. Measures were (a) the time it took for the first pig to contact 1 of the balloons, (b) percentage of nonhuman animals watching the balloons each for 10 s, and (c) percentage of animals touching the balloons during periods of 5 s. The time of the first pig to contact 1 of the balloons ranged from 0 s to 362 s. An effect of the farm was found (p < .0001) for contact latency, ranging from 6.8 s to 73.3 s, but little difference was found in terms of intrafarm variability. Interobserver repeatability was also high in this measure, ranging from r = .74 to r = .96. As a result, it is concluded that contact latency could be a good measure to assess fear of a novel stimulus in commercial farms.
28409651	15	30	Fear Assessment	T058	UMLS:C4040543
28409651	42	46	Pigs	T204	UMLS:C0039005
28409651	81	91	Commercial	T170	UMLS:C0680536
28409651	107	116	objective	T170	UMLS:C0018017
28409651	165	176	feasibility	T062	UMLS:C0015730
28409651	218	222	pigs	T204	UMLS:C0039005
28409651	226	236	commercial	T170	UMLS:C0680536
28409651	263	273	commercial	T170	UMLS:C0680536
28409651	274	279	farms	T082	UMLS:C0557759
28409651	329	333	pigs	T204	UMLS:C0039005
28409651	379	384	novel	T204	UMLS:C0039005
28409651	444	447	pig	T204	UMLS:C0039005
28409651	496	504	nonhuman	T204	UMLS:C0237798
28409651	505	512	animals	T204	UMLS:C0003062
28409651	572	579	animals	T204	UMLS:C0003062
28409651	647	650	pig	T204	UMLS:C0039005
28409651	723	727	farm	T082	UMLS:C0557759
28409651	845	854	intrafarm	T082	UMLS:C0557759
28409651	1044	1048	fear	T038	UMLS:C0015726
28409651	1072	1082	commercial	T170	UMLS:C0680536
28409651	1083	1088	farms	T082	UMLS:C0557759
