28486889|t|Coming full circle: thirty years of paediatric fluid resuscitation
28486889|a|Fluid bolus therapy (FBT) is a cornerstone of the management of the septic child, but clinical research in this field is challenging to perform, and hard to interpret. The evidence base for independent benefit from liberal FBT in the developed world is limited, and the Fluid Expansion as Supportive Therapy (FEAST) trial has led to conservative changes in the World Health Organization - recommended approach to FBT in resource-poor settings. Trials in the intensive care unit (ICU) and emergency department settings post-FEAST have continued to explore liberal FBT strategies as the norm, despite a strong signal associating fluid accumulation with pulmonary pathology in the paediatric population. Modern clinical trial methodology may ameliorate the traditional challenges of performing randomised interventional trials in critically ill children. Such trials could examine differing strategies of fluid resuscitation, or compare early FBT to early vasoactive agent use. Given the ubiquity of FBT and the potential for harm, appropriately powered examinations of the efficacy of FBT compared to alternative interventions in the paediatric emergency and ICU settings in the developed world appear justified and warranted.
28486889	36	46	paediatric	T091	UMLS:C0030755
28486889	47	66	fluid resuscitation	T058	UMLS:C0150238
28486889	67	86	Fluid bolus therapy	T058	UMLS:C0016286
28486889	88	91	FBT	T058	UMLS:C0016286
28486889	98	127	cornerstone of the management	T058	UMLS:C0376636
28486889	153	170	clinical research	T062	UMLS:C0008972
28486889	290	293	FBT	T058	UMLS:C0016286
28486889	337	374	Fluid Expansion as Supportive Therapy	T058	UMLS:C0436313
28486889	376	381	FEAST	T058	UMLS:C0436313
28486889	383	388	trial	T062	UMLS:C0008976
28486889	428	453	World Health Organization	T092	UMLS:C0043237
28486889	480	483	FBT	T058	UMLS:C0016286
28486889	511	517	Trials	T062	UMLS:C0008976
28486889	525	544	intensive care unit	T092	UMLS:C0021710
28486889	546	549	ICU	T092	UMLS:C0021710
28486889	555	584	emergency department settings	T058	UMLS:C0374899
28486889	585	595	post-FEAST	T058	UMLS:C0436313
28486889	630	644	FBT strategies	T058	UMLS:C0016286
28486889	718	737	pulmonary pathology	T038	UMLS:C0748168
28486889	775	801	clinical trial methodology	T062	UMLS:C0008976
28486889	858	890	randomised interventional trials	T062	UMLS:C0206034
28486889	919	930	Such trials	T062	UMLS:C0008976
28486889	969	988	fluid resuscitation	T058	UMLS:C0150238
28486889	1007	1010	FBT	T058	UMLS:C0016286
28486889	1064	1067	FBT	T058	UMLS:C0016286
28486889	1118	1146	examinations of the efficacy	T062	UMLS:C1707887
28486889	1150	1153	FBT	T058	UMLS:C0016286
28486889	1166	1191	alternative interventions	T058	UMLS:C0184661
28486889	1199	1219	paediatric emergency	T058	UMLS:C4039843
28486889	1224	1236	ICU settings	T092	UMLS:C0021710
