28523846|t|A novel rapid analysis using mass spectrometry to evaluate downstream refolding of recombinant human insulin-like growth factor-1 (mecasermin)
28523846|a|Mecasermin is used to treat elevated blood sugar as well as growth hormone - resistant Laron-type dwarfism. Mecasermin isolated from inclusion bodies in extracts of E.coli must be refolded to acquire sufficient activity. However, there is no rapid analytical method for monitoring refolding during the purification process. We prepared mecasermin drug product, in-process samples during the oxidation of mecasermin, forced-reduced mecasermin, and aerially oxidized mecasermin after forced reduction. Desalted mecasermin samples were analyzed using MALDI-ISD. The peak intensity ratio of product to precursor ion was determined. The charge state distribution (CSD) of mecasermin ions was evaluated using ESI-MS coupled with SEC-mode HPLC. The drift time and collision cross-sectional areas (CCS) of mecasermin ions were evaluated using ESI-IMS-MS coupled with SEC-mode HPLC. MALDI-ISD data, CSD values determined using ESI-MS, and the CCS acquired using ESI-IMS-MS revealed the relationship between the folded and unfolded proteoforms of forced-reduced mecasermin and aerially oxidized mecasermin with the free-SH: protein ratio of mecasermin drug product. The collision cross-sectional area, which is determined using ESI-IMS-MS, provided proteoform information through rapid monitoring (<2 min) of in-process samples during the manufacture of mecasermin. ESI-IMS-MS coupled with SEC-mode HPLC is a rapid and robust method for analyzing the free-SH: protein ratio of mecasermin that allows evaluating and monitoring proteoform changes during the oxidation of mecasermin. ESI-IMS-MS is applicable as a process analytical technology tool for identifying the " critical quality attributes " and implementing " quality by design " for manufacturing mecasermin.
28523846	14	22	analysis	T062	UMLS:C0936012
28523846	29	46	mass spectrometry	T058	UMLS:C0037813
28523846	59	69	downstream	T082	UMLS:C0522506
28523846	70	79	refolding	T038	UMLS:C0162847
28523846	83	129	recombinant human insulin-like growth factor-1	T103	UMLS:C0904505
28523846	131	141	mecasermin	T103	UMLS:C0904505
28523846	143	153	Mecasermin	T103	UMLS:C0904505
28523846	171	191	elevated blood sugar	T038	UMLS:C0020456
28523846	203	217	growth hormone	T103	UMLS:C0037663
28523846	230	249	Laron-type dwarfism	T038	UMLS:C0271568
28523846	251	261	Mecasermin	T103	UMLS:C0904505
28523846	276	292	inclusion bodies	T017	UMLS:C0007637
28523846	308	314	E.coli	T007	UMLS:C0014834
28523846	424	433	refolding	T038	UMLS:C0162847
28523846	445	457	purification	T058	UMLS:C0597301
28523846	479	489	mecasermin	T103	UMLS:C0904505
28523846	490	502	drug product	T103	UMLS:C0013227
28523846	534	543	oxidation	T038	UMLS:C0030011
28523846	547	557	mecasermin	T103	UMLS:C0904505
28523846	574	584	mecasermin	T103	UMLS:C0904505
28523846	608	618	mecasermin	T103	UMLS:C0904505
28523846	652	662	mecasermin	T103	UMLS:C0904505
28523846	691	700	MALDI-ISD	T058	UMLS:C0282597
28523846	810	820	mecasermin	T103	UMLS:C0904505
28523846	846	852	ESI-MS	T058	UMLS:C0596495
28523846	875	879	HPLC	T058	UMLS:C0008562
28523846	941	951	mecasermin	T103	UMLS:C0904505
28523846	978	988	ESI-IMS-MS	T058	UMLS:C0022885
28523846	1011	1015	HPLC	T058	UMLS:C0008562
28523846	1017	1026	MALDI-ISD	T058	UMLS:C0282597
28523846	1061	1067	ESI-MS	T058	UMLS:C0596495
28523846	1096	1106	ESI-IMS-MS	T058	UMLS:C0022885
28523846	1145	1151	folded	T082	UMLS:C0332462
28523846	1165	1176	proteoforms	T103	UMLS:C1510464
28523846	1195	1205	mecasermin	T103	UMLS:C0904505
28523846	1228	1238	mecasermin	T103	UMLS:C0904505
28523846	1274	1284	mecasermin	T103	UMLS:C0904505
28523846	1285	1297	drug product	T103	UMLS:C0013227
28523846	1361	1371	ESI-IMS-MS	T058	UMLS:C0022885
28523846	1382	1392	proteoform	T103	UMLS:C1510464
28523846	1487	1497	mecasermin	T103	UMLS:C0904505
28523846	1499	1509	ESI-IMS-MS	T058	UMLS:C0022885
28523846	1532	1536	HPLC	T058	UMLS:C0008562
28523846	1610	1620	mecasermin	T103	UMLS:C0904505
28523846	1659	1669	proteoform	T103	UMLS:C1510464
28523846	1689	1698	oxidation	T038	UMLS:C0030011
28523846	1702	1712	mecasermin	T103	UMLS:C0904505
28523846	1714	1724	ESI-IMS-MS	T058	UMLS:C0022885
28523846	1888	1898	mecasermin	T103	UMLS:C0904505
