,sentence,word_labels
0,document : Attention Boosted Sequential Inference Model,"O,O,B,I,I,I,I"
1,Attention mechanism has been proven effective on natural language processing .,"B,I,O,O,O,O,O,B,I,I,O"
2,"This paper proposes an attention boosted natural language inference model named aESIM by adding word attention and adaptive direction - oriented attention mechanisms to the traditional Bi - LSTM layer of natural language inference models , e.g. ESIM .","O,O,O,O,B,I,I,I,I,I,O,B,O,O,B,I,O,B,I,I,I,I,I,O,O,O,B,I,I,I,I,I,I,I,I,O,O,B,O"
3,This makes the inference model aESIM has the ability to effectively learn the representation of words and model the local subsentential inference between pairs of premise and hypothesis .,"O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O"
4,"The empirical studies on the SNLI , MultiNLI and Quora benchmarks manifest that aESIM is superior to the original ESIM model .","O,O,O,O,O,B,O,B,O,B,O,O,O,B,O,O,O,O,O,B,I,O"
5,"acmlicensed [ DAPA’19 ] DAPA2019WSDMWorkshoponDeepmatchinginPracticalApplicationsFebruary15th , 2019Melbourne , Australia 2019","O,O,O,O,O,O,O,O,O,O"
6,2019 printacmref =,"O,O,O"
7,false 1234 - 5678 - 9012 1234 - 5678 - 9012,"O,O,O,O,O,O,O,O,O,O,O"
8,1234 - 5678 - 9012,"O,O,O,O,O"
9,section : Introduction,"O,O,O"
10,Natural language inference ( NLI ) is an important and significant task in natural language processing ( NLP ) .,"B,I,I,O,B,I,O,O,O,O,O,O,O,B,I,I,I,I,I,O"
11,"It concerns whether a hypothesis can be inferred from a premise , requiring understanding of the semantic similarity between the hypothesis and the premise to discriminate their relation .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
12,Table [ reference ] shows several samples of natural language inference from SNLI ( Stanford Natural Language Inference ) corpus .,"O,O,O,O,O,O,O,O,B,I,I,O,B,O,O,O,O,O,O,O,O"
13,"In the literature , the task of NLI is usually viewed as a relation classification .","O,O,O,O,O,O,O,B,O,O,O,O,O,B,I,O"
14,"It learns the relation between a premise and a hypothesis in a large training set , then predicts the relation between a new pair of premise and hypothesis .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
15,The existing methods of NLI can be roughly partitioned into two categories : feature - based models and neural network - based models .,"O,O,O,O,B,O,O,O,O,O,O,O,O,B,I,I,I,O,B,I,I,I,I,O"
16,"Feature - based models represent a premise and a hypothesis by their unlexicalized and lexicalized features , such as - gram length and the real - valued feature of length difference , then train a classifier to perform relation classification .","B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,B,I,O"
17,"Recently , end - to - end neural network - based models have drawn worldwide attention since they have demonstrated excellent performance on quite a few NLP tasks including machine translation , natural language inference , etc .","O,O,B,I,I,I,I,I,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,B,I,O,B,I,I,O,O,O"
18,"On the basis of their model structures , we can divide neural network - based models for NLI into two classes , sentence encoding models and sentence interaction - aggregation models .","O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,B,O,O,O,O,B,I,I,O,B,I,I,I,I,O"
19,The architectures of the two types of models are shown in Figure [ reference ] .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
