,sentence,word_labels
0,"Catechol - O - methyltransferase ( COMT ) gene variants : possible association of the Val158Met variant with opiate addiction in Hispanic women .. Catechol - O - methyltransferase ( COMT ) catalyzes the breakdown of catechol neurotransmitters , including dopamine , which plays a prominent role in drug reward .","O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,"A common single nucleotide polymorphism ( SNP ) , G472A , codes for a Val158Met substitution and results in a fourfold down regulation of enzyme activity .","O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,"We sequenced exon IV of COMT gene in search for novel polymorphisms and then genotyped four out of five identified by direct sequencing , using TaqMan assay on 266 opioid - dependent and 173 control subjects .","O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,"Genotype frequencies of the G472A SNP varied significantly ( P = 0.029 ) among the three main ethnic / cultural groups ( Caucasians , Hispanics , and African Americans ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"Using a genotype test , we found a trend to point - wise association ( P = 0.053 ) of the G472A SNP in Hispanic subjects with opiate addiction .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,"Further analysis of G472A genotypes in Hispanic subjects with data stratified by gender identified a point - wise significant ( P = 0.049 ) association of G / A and A / A genotypes with opiate addiction in women , but not men .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O"
6,These point - wise significant results are not significant experiment - wise ( at P < 0.05 ) after correction for multiple testing .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,No significant association was found with haplotypes of the three most common SNPs .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,Linkage disequilibrium patterns were similar for the three ethnic / cultural groups .,"O,O,O,O,O,O,O,O,O,O,O,O,O"
0,Pituitary response to luteinizing hormone - releasing hormone during haloperidol - induced hyperprolactinemia ..,"O,O,O,B,I,I,I,I,O,B,O,O,O,O"
1,The effects of a 6 - hour infusion with haloperidol on serum prolactin and luteinizing hormone ( LH ) levels was studied in a group of male subjects .,"O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,"Five hours after starting the infusions , a study of the pituitary responses to LH - releasing hormone ( LH - RH ) was carried out .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,Control patients received infusions of 0.9 % NaCl solution .,"O,O,O,O,O,O,O,O,O,O"
4,"During the course of haloperidol infusions , significant hyperprolactinemia was found , together with an abolished pituitary response to LH - RH , as compared with responses of control subjects .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,"A homozygous mutation in LYRM7 / MZM1L associated with early onset encephalopathy , lactic acidosis , and severe reduction of mitochondrial complex III activity .. Mutations in nuclear genes associated with defective complex III ( cIII ) of the mitochondrial respiratory chain are rare , having been found in only two cIII assembly factors and , as private changes in single families , three cIII structural subunits .","O,O,O,O,B,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O"
1,"Recently , human LYRM7 / MZM1L , the ortholog of yeast MZM1 , has been identified as a new assembly factor for cIII .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,"In a baby patient with early onset , severe encephalopathy , lactic acidosis and profound , isolated cIII deficiency in skeletal muscle , we identified a disease - segregating homozygous mutation ( c.73G > A ) in LYRM7 / MZM1L , predicting a drastic change in a highly conserved amino - acid residue ( p. Asp25Asn ) .","O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,"In a mzm1D yeast strain , the expression of a mzm1(D25N ) mutant allele caused temperature - sensitive respiratory growth defect , decreased oxygen consumption , impaired maturation / stabilization of the Rieske Fe - S protein , and reduced complex III activity and amount .","O,O,B,B,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O"
4,"LYRM7 / MZM1L is a novel disease gene , causing cIII - defective , early onset , severe mitochondrial encephalopathy .","B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O"
0,Association of DNA polymorphisms within the CYP11B2 / CYP11B1 locus and postoperative hypertension risk in the patients with aldosterone - producing adenomas ..,"O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,OBJECTIVES : Hypertension often persists after adrenalectomy for primary aldosteronism .,"O,O,O,O,O,O,O,O,O,O,O"
2,"Traditional factors associated with postoperative hypertension were evaluated , but whether genetic determinants were involved remains poorly understood .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,"The aim of this study was to investigate the association of DNA polymorphisms within steroid synthesis genes ( CYP11B2 , CYP11B1 ) and the postoperative resolution of hypertension in Chinese patients undergoing adrenalectomy for aldosterone - producing adenomas ( APA ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,METHODS : Ninety - three patients with APA were assessed for postoperative resolution of hypertension .,"O,O,O,O,O,B,O,O,O,O,O,O,O,O,B,O"
5,"All patients were genotyped for rs1799998 ( C-344 T ) , intron 2 conversion , rs4539 ( A2718 G ) within CYP11B2 and rs6410 ( G22 5A ) , rs6387 ( A2803 G ) within CYP11B1 .","O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,B,O,O,O,B,I,O,O,B,O,O,O,O,O,O,O"
6,The associations between CYPB11B2 / CYP11B1 polymorphisms and persistent postoperative hypertension were assessed by multivariate analysis .,"O,O,O,B,O,O,O,O,O,O,B,O,O,O,O,O,O"
7,RESULTS : CYP11B2 - CYP11B1 haplotype was associated with persistent postoperative hypertension in Chinese patients undergoing adrenalectomy with APA ( P = .006 ) .,"O,O,O,O,O,O,O,O,O,O,O,B,O,O,B,O,O,O,O,O,O,O,O,O,O"
8,"Specifically , the rs4539 ( AA ) polymorphism was associated with persistent postoperative hypertension ( P = .002 ) .","O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,"Multivariate logistic regression revealed the common haplotypes H1 ( AGACT ) , H2 ( AGAWT ) , and H3 ( AGAWC ) were associated with the persistent postoperative hypertension ( P = .01 , 0.03 , 0.005 after Bonferroni correction ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
10,"Additional predictors of persistent postoperative hypertension included duration of hypertension ( P < .0005 ) , family history of hypertension ( P = .001 ) , and elevated systolic blood pressure ( P = .015 ) .","O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,"CONCLUSIONS : The rs4539 ( AA ) , H1 , H2 , and H3 are genetic predictors for postoperative persistence of hypertension for Chinese patients treated by adrenalectomy with APA .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,B,O,O,O,O,B,O"
12,DNA polymorphisms at CYP11B2 / B1 locus may confer susceptibility to postoperative hypertension of patients with APA .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
0,"Impact of alcohol exposure after pregnancy recognition on ultrasonographic fetal growth measures .. BACKGROUND : More than 3 decades after Jones and Smith ( 1973 ) reported on the devastation caused by alcohol exposure on fetal development , the rates of heavy drinking during pregnancy remain relatively unchanged .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,Early identification of fetal alcohol exposure and maternal abstinence led to better infant outcomes .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,This study examined the utility of biometry for detecting alcohol - related fetal growth impairment .,"O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O"
